Pk_int,Pk_true,Bk_int,f,Omega_m,Omega_b,h,n_s,sigma_8
/path/to/Pk_contaminated/inbox/latin_hypercube/0/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/0/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/0/0/Bk_6k_pyspectrum-dz.dat,0.0431578031529748,0.1755,0.06681,0.7737,0.8849,0.6641
/path/to/Pk_contaminated/inbox/latin_hypercube/1/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/1/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/1/0/Bk_6k_pyspectrum-dz.dat,0.0135298303825193,0.2139,0.05557,0.8599000000000001,0.9785,0.8618999999999999
/path/to/Pk_contaminated/inbox/latin_hypercube/2/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/2/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/2/0/Bk_6k_pyspectrum-dz.dat,0.0441744900928254,0.1867,0.04503,0.6189,0.8307,0.7187
/path/to/Pk_contaminated/inbox/latin_hypercube/3/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/3/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/3/0/Bk_6k_pyspectrum-dz.dat,0.0108742266465167,0.3271,0.06875,0.6313,0.8135,0.8938999999999999
/path/to/Pk_contaminated/inbox/latin_hypercube/4/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/4/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/4/0/Bk_6k_pyspectrum-dz.dat,0.0961687464187325,0.1433,0.06347,0.6127,1.1501,0.7699
/path/to/Pk_contaminated/inbox/latin_hypercube/5/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/5/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/5/0/Bk_6k_pyspectrum-dz.dat,0.0595629281352316,0.4813,0.05637,0.5331,0.9041,0.9289
/path/to/Pk_contaminated/inbox/latin_hypercube/6/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/6/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/6/0/Bk_6k_pyspectrum-dz.dat,0.077834887758989,0.4149,0.04539,0.5761000000000001,0.9911,0.6283
/path/to/Pk_contaminated/inbox/latin_hypercube/7/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/7/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/7/0/Bk_6k_pyspectrum-dz.dat,0.0770276753907514,0.2423,0.06275,0.5675,0.8305,0.7145
/path/to/Pk_contaminated/inbox/latin_hypercube/8/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/8/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/8/0/Bk_6k_pyspectrum-dz.dat,0.0154682378486649,0.3215,0.05487,0.6429,1.0531,0.7509
/path/to/Pk_contaminated/inbox/latin_hypercube/9/0/Pk_pylians-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/9/0/Pk_pylians-no-dz.dat,/path/to/Pk_contaminated/inbox/latin_hypercube/9/0/Bk_6k_pyspectrum-dz.dat,0.1080368826691892,0.4197000000000001,0.05329,0.5265,0.9665,0.6233
