# Min Max
1.633175536404646846e+04 1.073186659775635451e+08
2.864058101562011143e+04 3.073419295907292143e+07
1.601604819240892539e+04 1.858682317776194960e+07
1.898944887763403676e+04 1.528287960014644265e+07
1.639404748029911207e+04 1.014787726235030405e+07
1.392484096433000013e+04 7.458491481589742005e+06
1.117576494858184378e+04 5.454955767258433625e+06
9.949543544490052227e+03 3.531527465311753098e+06
8.900898415486235535e+03 2.420349391367962118e+06
9.043669425348944060e+03 1.959281156388550764e+06
7.935370901495668477e+03 1.537328641872745939e+06
7.798603308186510731e+03 1.122924217718998203e+06
7.127523171377082690e+03 9.904847692612963729e+05
7.027120627875986429e+03 8.560238524554450996e+05
7.128923809248303769e+03 7.774560231246401090e+05
6.563122225911857640e+03 7.999504821302845376e+05
5.960992902364082511e+03 7.728519090762936976e+05
5.732875767717779127e+03 7.798904703073432902e+05
5.650168233732429144e+03 7.567018185696022119e+05
5.362299551627037545e+03 7.477216374283026671e+05
5.160610518319851508e+03 6.863181614142437465e+05
4.959656992976445508e+03 6.624918477338072844e+05
4.939548929017720184e+03 6.166844036608863389e+05
4.685376432460853721e+03 5.992350568288220093e+05
4.590740890110678265e+03 5.563240670994018437e+05
4.495050553478233269e+03 5.099453390093339840e+05
4.367621287430068151e+03 4.687696846893801703e+05
4.275655853699237923e+03 4.446679823649571626e+05
4.102039573599761752e+03 4.353405753515025135e+05
3.991861501923920514e+03 3.939867969090381521e+05
3.981528777429166439e+03 3.876888237301735790e+05
3.853677777696213980e+03 3.719267410517280223e+05
3.866144467646427529e+03 3.580057773298005341e+05
3.668850947897478818e+03 3.477087931114626117e+05
3.622029565320725396e+03 3.383096404265618767e+05
3.551458134822460124e+03 3.280628455456090160e+05
3.513229244134482997e+03 3.247462029740951839e+05
3.453802777688591050e+03 3.226115618118898128e+05
3.403920639848245628e+03 3.101706444925708929e+05
3.391011645192886135e+03 3.088483218007102842e+05
3.287834205738350192e+03 3.027267149947690195e+05
3.243757188180218236e+03 2.861025301476753666e+05
3.205561332081912042e+03 2.847520214532114333e+05
3.167566530027184854e+03 2.856274734441950568e+05
3.132821480813684047e+03 2.742723312170747085e+05
3.091962982044515229e+03 2.661426252136138501e+05
3.030060589321593852e+03 2.540746801608915557e+05
3.006870164530829243e+03 2.549148514912339742e+05
2.988980304575927221e+03 2.484123901836849982e+05
2.967285321941759321e+03 2.397339878289650660e+05
2.931412756149864435e+03 2.326619792016896827e+05
2.919036929228515419e+03 2.294270355767442670e+05
2.894987474056969859e+03 2.257684763766956748e+05
2.868794843112044873e+03 2.177632518941485614e+05
2.816956281979261803e+03 2.102337378260604455e+05
2.779621254167878760e+03 2.128961130815424258e+05
2.754339972227768158e+03 2.081363320419389056e+05
2.752773049043605624e+03 2.054252327708683733e+05
2.724920573193289329e+03 1.995379327541631355e+05
2.707524351895545806e+03 1.972659253497004975e+05
2.680379051491167957e+03 1.937424490418662317e+05
2.635853084528121599e+03 1.927919509501642606e+05
2.640680496160235634e+03 1.916786740056436975e+05
2.633631096343910031e+03 1.896748950361140305e+05
2.600532029304605658e+03 1.886952673669091018e+05
2.592428169985616478e+03 1.888820245650406869e+05
2.571011256128702371e+03 1.863906846762777132e+05
2.585985494901510720e+03 1.840998669301245827e+05
2.555532085664116494e+03 1.803578195119262382e+05
2.547485676478075675e+03 1.783654854585299909e+05
2.524144529425741894e+03 1.773789144408424327e+05
2.521475559382108713e+03 1.757672909664543986e+05
2.512971280668809413e+03 1.717518810946572048e+05
2.473529636576015946e+03 1.716181697781706462e+05
2.496633377991621728e+03 1.671390068286896858e+05
2.459090469432731879e+03 1.656569721493384277e+05
2.442210945478891063e+03 1.644069043987030163e+05
2.447070500864452242e+03 1.659163453799594427e+05
2.445088695757146525e+03 1.623192101927367039e+05
8.868031303260798248e-02 5.209549176406902404e-01
1.781881359031129569e-02 8.244757885606668335e-02
4.879439433114879376e-01 9.114977703312486801e-01
7.919472189836530562e-01 1.207797902928775091e+00
5.785497211705220577e-01 1.017048073382740947e+00
