# Train Val
2.057499140501022339e+00 1.188828865687052483e+00
-7.152497669061025354e-01 -3.186120589574178208e+00
-4.692532718181610107e+00 -5.884298324584960938e+00
-6.669714768727620147e+00 -7.424764156341552734e+00
-7.548660675684611299e+00 -7.799945990244547822e+00
-7.767428358395894072e+00 -7.539769967397053740e+00
-7.791251619656880401e+00 -7.696284294128417969e+00
-7.825185775756835938e+00 -7.777493317921956084e+00
-7.804844737052917480e+00 -7.760867913564045928e+00
-7.813381512959797881e+00 -7.612955411275227569e+00
-7.803230524063110352e+00 -7.713552951812744141e+00
-7.842929879824320771e+00 -7.792317390441894531e+00
-7.846765637397766113e+00 -7.784235636393229463e+00
-7.823632518450419404e+00 -7.622641245524088838e+00
-7.843930403391520478e+00 -7.648244380950927734e+00
-7.790561755498250029e+00 -7.396641095479329131e+00
-7.797626535097758271e+00 -7.581273078918457031e+00
-7.841190417607625029e+00 -7.692383607228596709e+00
-7.867762128512064912e+00 -7.668733596801757812e+00
-7.904697895050048828e+00 -7.669874827067057588e+00
-7.869607567787170410e+00 -7.997887929280598662e+00
-7.882931709289550781e+00 -8.136620521545410156e+00
-7.877329071362813018e+00 -8.220257282257080078e+00
-7.888284802436828613e+00 -7.630684375762939453e+00
-7.890350659688313506e+00 -7.756701628367106416e+00
-7.864958683649699189e+00 -7.974394957224528291e+00
-7.889099121093750000e+00 -7.542101383209228516e+00
-7.935570120811462402e+00 -7.955298423767089844e+00
-7.863080978393554688e+00 -7.718811353047688506e+00
-7.951102375984191895e+00 -8.008099238077798887e+00
-7.951010545094807647e+00 -7.960409323374430635e+00
-8.000053167343139648e+00 -7.833693822224934600e+00
-7.959398508071899414e+00 -8.189765612284341856e+00
-7.999495943387349151e+00 -7.923733870188395478e+00
-7.988375624020894072e+00 -7.951367537180582978e+00
-7.980649073918660186e+00 -7.877975145975748994e+00
-7.979017019271850586e+00 -7.732127984364827178e+00
-7.963697195053100586e+00 -7.744562466939290069e+00
-7.939459641774495147e+00 -7.941194534301757812e+00
-7.994535247484843232e+00 -8.051004568735757871e+00
-8.017772833506265684e+00 -7.978713830312092803e+00
-8.041384776433309511e+00 -8.039678891499837832e+00
-8.027524987856546446e+00 -7.937602043151855469e+00
-8.006116906801858946e+00 -8.072934309641519590e+00
-8.041533788045247988e+00 -7.868532657623291016e+00
-7.991860826810200713e+00 -7.944989999135334990e+00
-8.031973997751871153e+00 -7.846660137176513672e+00
-8.036145925521850586e+00 -8.036474863688150450e+00
-7.992809573809306123e+00 -7.918757120768229463e+00
-8.075911045074462891e+00 -7.742179870605468750e+00
-8.053311069806417422e+00 -8.256549517313638731e+00
-8.009603579839071230e+00 -8.027346611022949219e+00
-7.898241043090820312e+00 -7.967406908671061494e+00
-8.104700883229574160e+00 -8.098103205362955137e+00
-8.018261353174844785e+00 -7.794496854146321319e+00
-8.091321031252542539e+00 -8.132929166158040957e+00
-8.091265757878622011e+00 -7.796677589416503906e+00
-8.017755746841430664e+00 -7.824408054351806641e+00
-7.923130114873250029e+00 -7.979213396708170869e+00
-8.090411225954690977e+00 -8.356006463368734316e+00
-8.114559769630432129e+00 -7.809857686360676787e+00
-8.108410278956094785e+00 -7.767698287963867188e+00
-8.098173260688781738e+00 -7.879609902699788115e+00
-8.110874176025390625e+00 -7.758947372436523438e+00
-8.120716691017150879e+00 -8.365045865376790957e+00
-8.199903726577758789e+00 -7.835639317830403350e+00
-8.201301137606302305e+00 -8.161272207895914121e+00
-8.182636539141336485e+00 -8.280576229095458984e+00
-8.188079039255777403e+00 -8.197084267934164004e+00
-8.179668347040811582e+00 -7.955483436584472656e+00
-8.211383501688638731e+00 -7.871476014455159209e+00
-8.210166891415914492e+00 -8.089846928914388613e+00
-8.297410726547241211e+00 -7.849031130472819306e+00
-8.140421628952026367e+00 -8.110735257466634707e+00
-8.148856679598489805e+00 -7.628192424774169922e+00
-8.260603070259094238e+00 -8.130107243855794863e+00
-8.301495313644409180e+00 -8.214850902557373047e+00
-8.320730646451314882e+00 -7.838632424672444365e+00
-8.254490415255228086e+00 -8.278833230336507754e+00
-8.306567549705505371e+00 -8.101399739583333925e+00
-8.420209685961404844e+00 -8.361700375874837832e+00
-8.387783805529275938e+00 -8.781631787618001894e+00
-8.380083958307901426e+00 -8.302062034606933594e+00
-8.452771226565042539e+00 -7.986397743225097656e+00
-8.379014611244201660e+00 -8.253117561340332031e+00
-8.498087763786315918e+00 -8.307485739390054746e+00
