# Min Max
1.633175536404646846e+04 1.043692762229829431e+08
4.423403984778540325e+04 2.222476971496537328e+07
2.265216650560811831e+04 1.822985432239535451e+07
2.431966678889218383e+04 1.528287960014644265e+07
1.957817384455503634e+04 1.014787726235030405e+07
1.741043482205108012e+04 5.379822468558818102e+06
1.275363812674004112e+04 4.197589881961503066e+06
1.167146491864161180e+04 3.123209892610095441e+06
1.106344183774015983e+04 2.333358613327308558e+06
9.531232151569289272e+03 1.857947101737806574e+06
9.626813614261818657e+03 1.442667768243172672e+06
9.216220274503788460e+03 1.089586980861233314e+06
7.311975285272466863e+03 9.182394864983597072e+05
7.877825445038031830e+03 8.560238524554450996e+05
7.199975829474631610e+03 7.507629385200466495e+05
6.848932467182773507e+03 7.188045332263391465e+05
6.785188555526439814e+03 6.998381358540215297e+05
6.395537264478977704e+03 6.604675638875708682e+05
5.711213465069028643e+03 6.116730333583429456e+05
5.662683084156272344e+03 6.031106923028439051e+05
5.720620022705204065e+03 5.910842851999335689e+05
5.251872341825986041e+03 5.336377798710109200e+05
5.339005317401751199e+03 4.607848575813344796e+05
5.009022610992839873e+03 4.429838754240672570e+05
4.880818578575901483e+03 4.300300486846129643e+05
4.700966975826007911e+03 3.924736649100887007e+05
4.783316857375628388e+03 3.497014386413441389e+05
4.577465246655621741e+03 3.349028256672296557e+05
4.410570655549627190e+03 3.235678850486538140e+05
4.418975474354356265e+03 3.183666053882940905e+05
4.236014132947764665e+03 2.862830386063755723e+05
4.120540560055450442e+03 2.832456277424923610e+05
4.084868452649932806e+03 2.691098493846583879e+05
3.993661617779257085e+03 2.619566925696331309e+05
3.922237256838146550e+03 2.579376894615166530e+05
3.819074219925617399e+03 2.527731044384705892e+05
3.793408939487792850e+03 2.440030808268199035e+05
3.679670901385752586e+03 2.393388244073892129e+05
3.623299221184577618e+03 2.367112681971747952e+05
3.599456224359062162e+03 2.322662700453982980e+05
3.581714066809822725e+03 2.233214846602517646e+05
3.464635910906504705e+03 2.191386641242168262e+05
3.388812709890941733e+03 2.176802956526144117e+05
3.385102996548678675e+03 2.080219696535806870e+05
3.381529623589108269e+03 2.056706062200331071e+05
3.325927574396851469e+03 1.985050922772134945e+05
3.264096210566804075e+03 1.909799604113485839e+05
3.167843812438093209e+03 1.933711098956939240e+05
3.154692628968332883e+03 1.888521695660798578e+05
3.177912237162538077e+03 1.831443096481845132e+05
3.069930017506523200e+03 1.813990176114812202e+05
3.089573891454144359e+03 1.796175102162602125e+05
3.040875172477706656e+03 1.764626097429737565e+05
3.017505487858692049e+03 1.741994201519573107e+05
3.003976573225968878e+03 1.707916162922426593e+05
2.969290434576332245e+03 1.672193493210959714e+05
3.001021318215769497e+03 1.666415496933936665e+05
2.931479913510378083e+03 1.624204739111040253e+05
2.894804878490103874e+03 1.557995456939460419e+05
2.896436571299327625e+03 1.557717954024101200e+05
2.867265791783015175e+03 1.514694533348146942e+05
2.817852892031971351e+03 1.507452474866487901e+05
2.835845933571717978e+03 1.467806074741508055e+05
2.802347658107520147e+03 1.457211352394243586e+05
2.776538623782903414e+03 1.453605067822817655e+05
2.773089967088345929e+03 1.433283995371776109e+05
2.776203667752959063e+03 1.424121680557368090e+05
2.725756429942534396e+03 1.409433013516861247e+05
2.737937869130248146e+03 1.392486726907117991e+05
2.691388946528550150e+03 1.373533141776637058e+05
2.695339082559535200e+03 1.348081132120921102e+05
2.649288288790255592e+03 1.337198342305571714e+05
2.659214464840317305e+03 1.328666642374709772e+05
2.627952041817534337e+03 1.307024388774714316e+05
2.626636429197254529e+03 1.308672830072305369e+05
2.627240639186323733e+03 1.292971955654753110e+05
2.603377368022038354e+03 1.289789623484582989e+05
2.587705088463673292e+03 1.275603870079361222e+05
2.580307014110738237e+03 1.243728280086553568e+05
3.930135325667694079e-02 5.620653211208531674e-01
1.232541420557495618e-02 8.974226902581515508e-02
4.715475679122870800e-01 9.431329922342978067e-01
7.555999963389096186e-01 1.235841869769672918e+00
5.308968613847950824e-01 1.053661071620145107e+00
