# Train Val
-7.890745822961132028e+00 -8.494422144704051547e+00
-8.595322630057731672e+00 -8.565296420803317545e+00
-8.630925220747789339e+00 -8.672826364442899560e+00
-8.687459696084260941e+00 -8.798802258132340626e+00
-8.841397880266109510e+00 -9.002504732701686052e+00
-9.058055711289247469e+00 -9.181623842809107927e+00
-9.201657861471176147e+00 -9.265209965891651578e+00
-9.368038292974233627e+00 -9.523702782469911199e+00
-9.519723255187273026e+00 -9.612126907744965365e+00
-9.622665687153736158e+00 -9.815582907045042660e+00
-9.784873632093271212e+00 -9.794532676795860482e+00
-9.940953152875104948e+00 -1.012601400350595426e+01
-1.004837398479382138e+01 -1.009237279520406361e+01
-1.012057905644178391e+01 -1.025954115235960273e+01
-1.036184237649043460e+01 -1.055785930930793981e+01
-1.047315677503744702e+01 -1.072593044925045724e+01
-1.051048332204421420e+01 -1.059016828413133560e+01
-1.062707119062542915e+01 -1.062177151518982754e+01
-1.073780171697338481e+01 -1.042369375600443249e+01
-1.081006703774134259e+01 -1.073736127630456672e+01
-1.091791412731011768e+01 -1.083292876900016566e+01
-1.107478365550438504e+01 -1.111108641190962310e+01
-1.104771075894435306e+01 -1.032617166444852685e+01
-1.121850117295980453e+01 -1.025032169168645702e+01
-1.126929982130726238e+01 -1.141575761274858003e+01
-1.132937086125214954e+01 -1.121036808212082114e+01
-1.130871186157067676e+01 -1.142940015916700425e+01
-1.147580410788456540e+01 -9.981473749334162093e+00
-1.134245648235082626e+01 -1.162826175194282108e+01
-1.157952217509349246e+01 -1.090826882944478626e+01
-1.154896278431018253e+01 -1.170941908947833099e+01
-1.167008380591869354e+01 -1.180385801389619971e+01
-1.172181001305580139e+01 -1.191878773330093999e+01
-1.176664925614992718e+01 -1.160776220049176821e+01
-1.178152877589066883e+01 -1.157290394275219469e+01
-1.191252480447292328e+01 -1.132286271181973625e+01
-1.193721727778514285e+01 -1.184943832050670309e+01
-1.201601284245649914e+01 -1.184176286474450812e+01
-1.194925757994254489e+01 -1.060519279133189841e+01
-1.191971987982591052e+01 -1.177890787496195202e+01
-1.216498430073261261e+01 -1.185700855007419285e+01
-1.226941404740015606e+01 -1.200475313756373019e+01
-1.215588266650835614e+01 -1.239768623996090646e+01
-1.216514573246240616e+01 -1.235424104913488641e+01
-1.216867654522260089e+01 -1.238499585684243698e+01
-1.227629604438940625e+01 -1.238280412748262549e+01
