# Train Val
3.349630037943521904e-02 -3.719046640396117986e+00
-5.521854410568873384e+00 -7.289795017242431285e+00
-7.641195615132649444e+00 -7.836528587341308416e+00
-7.865243573983510039e+00 -7.913510417938232067e+00
-7.906671027342478730e+00 -7.921163558959960938e+00
-7.940817773342132568e+00 -7.977235889434814098e+00
-7.943315724531809785e+00 -7.989094543457031072e+00
-7.950749417146046660e+00 -7.972264575958251775e+00
-7.932960530122120879e+00 -7.925789546966552912e+00
-7.942446092764536836e+00 -7.914514350891113104e+00
-7.960023502508799531e+00 -7.953538322448730824e+00
-7.939213852087656953e+00 -7.976128768920898615e+00
-7.981986820697784424e+00 -8.009393978118897195e+00
-7.972666581471760772e+00 -7.980286026000976918e+00
-7.966418266296386719e+00 -7.972359371185302912e+00
-7.955734868844349883e+00 -8.002863502502441051e+00
-7.991531272729237578e+00 -8.028291797637939098e+00
-7.974567790826161406e+00 -7.995665454864502308e+00
-7.964619914690653779e+00 -7.931037139892578303e+00
-8.000632882118225098e+00 -8.111814308166504617e+00
-8.035623053709665342e+00 -8.102483081817627664e+00
-8.046053548653921084e+00 -8.010421657562256215e+00
-8.064477284749349550e+00 -8.044104671478271129e+00
-8.095353126525878906e+00 -8.082749843597412109e+00
-8.077569425106048584e+00 -8.034774971008300071e+00
-8.098041077454885439e+00 -8.090497970581054688e+00
-8.089872578779855772e+00 -8.077782821655272727e+00
-8.088194807370504336e+00 -8.070481681823730824e+00
-8.074633896350860596e+00 -8.125038623809814453e+00
-8.064949293931325869e+00 -8.004594612121582742e+00
-8.075855672359466553e+00 -8.144342517852782848e+00
-8.097901821136474609e+00 -8.007773780822754262e+00
-8.109762787818908691e+00 -8.125070095062255859e+00
-8.106760660807291075e+00 -8.085769081115723012e+00
-8.138367056846618652e+00 -8.050420379638671520e+00
-8.115037143230438232e+00 -8.106167507171630149e+00
-8.116072614987691836e+00 -8.088520431518555043e+00
-8.114199757575988770e+00 -8.085921001434325461e+00
-8.103868285814920469e+00 -8.072974872589110618e+00
-8.098195791244506836e+00 -8.090705299377441762e+00
-8.141136924425760313e+00 -8.079433822631836293e+00
-8.131135801474252744e+00 -8.035132312774658558e+00
-8.146096507708231016e+00 -8.155548763275145774e+00
-8.094742238521575928e+00 -8.128455162048339844e+00
-8.108634511629739805e+00 -8.121423721313476562e+00
-8.104809244473775820e+00 -8.169751834869384055e+00
-8.102054635683694883e+00 -8.189524173736572266e+00
-8.126622358957925840e+00 -8.090091037750244851e+00
-8.156241337458292051e+00 -8.126395130157471058e+00
-8.151047587394714355e+00 -8.146684932708740945e+00
-8.201342026392618223e+00 -8.066714382171630504e+00
-8.134877542654672666e+00 -8.211301231384277699e+00
-8.157923261324564024e+00 -8.114628124237061257e+00
-8.184825122356414795e+00 -8.174366474151611328e+00
-8.197633425394693418e+00 -8.146267414093017578e+00
-8.206509113311767578e+00 -8.166991233825683594e+00
-8.209450344244638487e+00 -8.162862110137940164e+00
-8.187209526697794004e+00 -8.211498069763184304e+00
-8.254730284214019775e+00 -8.090060234069824219e+00
-8.297960142294565244e+00 -8.292651939392090554e+00
-8.219482203324636416e+00 -8.008766365051268821e+00
-8.328547000885009766e+00 -8.350187206268310902e+00
-8.367739717165628477e+00 -8.280513191223144887e+00
-8.487746834754943848e+00 -8.294736862182617188e+00
-8.515074948469797178e+00 -8.457167625427246094e+00
-8.611551781495412783e+00 -8.241121768951416016e+00
-8.489936153093973203e+00 -8.265732479095458274e+00
-8.638853430747985840e+00 -8.711825561523436789e+00
-8.836571216583251953e+00 -8.675088119506835227e+00
-8.644763648509979248e+00 -8.267467308044434304e+00
-8.600448668003082275e+00 -8.704155921936035156e+00
-8.347028831640878721e+00 -7.867891120910644354e+00
-8.764133175214132265e+00 -8.408202266693114879e+00
-8.739325046539306641e+00 -8.725795173645019887e+00
-8.886488199234008789e+00 -8.562193489074706676e+00
-9.120062688986459776e+00 -8.847836112976073863e+00
-9.214363892873128847e+00 -8.361286640167236328e+00
-9.269133965174356504e+00 -8.895907211303711648e+00
-8.677988807360330625e+00 -8.720544147491455789e+00
-9.176748375097909971e+00 -8.538127803802490590e+00
-9.111204107602437929e+00 -8.982390022277831676e+00
-9.441618164380392031e+00 -8.621570587158203125e+00
-9.095917741457620664e+00 -8.801820850372314098e+00
-9.571902553240457578e+00 -9.061078453063965199e+00
-9.542880217234293028e+00 -8.570629882812500711e+00
-9.472736159960428282e+00 -8.143575382232665305e+00
-9.615549027919769287e+00 -9.254974555969237571e+00
-9.835977653662363096e+00 -9.320126152038573863e+00
-9.484985649585723877e+00 -9.054018592834472301e+00
-9.646772742271423340e+00 -9.050575256347656250e+00
-9.186689734458923340e+00 -9.230387687683105469e+00
-9.856691320737203554e+00 -8.950461959838866832e+00
-1.004266734917958637e+01 -9.098737907409667258e+00
-9.829815447330474854e+00 -8.862190723419189453e+00
-9.869053880373636289e+00 -9.218086242675781250e+00
-9.919183651606241270e+00 -8.569249343872069602e+00
-1.017266766230265240e+01 -9.234473037719727273e+00
-1.020587158203125000e+01 -9.159905815124512074e+00
-1.038082321484883686e+01 -9.027651596069336648e+00
-1.038494960467020611e+01 -8.860625362396239879e+00
-9.910159309705099062e+00 -9.324915885925292969e+00
-1.045977067947387695e+01 -9.424465370178221946e+00
-1.037813659509023090e+01 -9.304249000549315696e+00
-1.036589594682057758e+01 -9.113354682922363281e+00
-1.001295191049575806e+01 -9.312578964233399148e+00
-1.044796721140543561e+01 -8.920124816894531961e+00
-1.030592866738637348e+01 -8.737602710723876953e+00
-1.050732203324635883e+01 -8.678322792053222656e+00
-1.040445152918497662e+01 -9.750224113464355469e+00
-1.042812709013620953e+01 -9.102280616760253906e+00
-1.070882284641265869e+01 -9.282204723358153942e+00
-9.804377357165018125e+00 -8.760057258605957742e+00
-1.052245871225992779e+01 -9.810738372802735086e+00
-1.057427112261454205e+01 -9.429642295837401988e+00
-1.077909890810648541e+01 -9.656784248352050071e+00
-1.086298437913258930e+01 -8.847976398468016868e+00
-1.069669302304585834e+01 -9.000901699066162109e+00
-1.034584299723307232e+01 -8.595772457122802024e+00
-1.025627934932708740e+01 -9.531533241271972656e+00
-1.076247131824493408e+01 -9.445926856994628196e+00
-1.096150306860605816e+01 -9.149909019470214844e+00
-1.059032104412714581e+01 -9.701044464111328480e+00
-1.046371603012084961e+01 -9.583078765869140980e+00
-1.065834911664327045e+01 -9.883859443664551492e+00
-1.104551104704538922e+01 -9.472818756103515980e+00
-1.091102886199951172e+01 -9.948072814941406605e+00
-1.081061299641927143e+01 -9.841527366638183949e+00
-1.110432720184326172e+01 -9.616514587402344105e+00
-1.110787924130757709e+01 -9.716830921173094993e+00
-1.127372904618581195e+01 -8.764921379089354758e+00
-1.089796992142995258e+01 -9.626080894470215199e+00
-1.106080778439839740e+01 -8.895679473876953125e+00
-1.110516536235809326e+01 -9.071852111816406605e+00
-1.091704491774241070e+01 -9.446031188964843395e+00
-1.080421272913614850e+01 -9.858387947082519531e+00
-1.106597924232482910e+01 -9.217032241821289773e+00
-1.106449770927429199e+01 -9.485310745239257102e+00
-1.079953394333521466e+01 -8.922768020629883168e+00
-1.110639444986979107e+01 -1.002550601959228516e+01
-1.069853405157724957e+01 -9.094446754455566051e+00
-1.082330958048502545e+01 -9.631277465820312855e+00
-1.128902506828308105e+01 -9.121576213836670277e+00
-1.126194322109222412e+01 -9.647716331481934304e+00
-1.144667212168375592e+01 -1.009014558792114258e+01
-1.121808528900146484e+01 -8.633536243438721058e+00
