# Min Max
1.633175536404646846e+04 1.043692762229829431e+08
3.917884607178979059e+04 2.222476971496537328e+07
2.265216650560811831e+04 1.822985432239535451e+07
2.431966678889218383e+04 1.528287960014644265e+07
1.895668862414533214e+04 1.014787726235030405e+07
1.741043482205108012e+04 5.379822468558818102e+06
1.275363812674004112e+04 4.197589881961503066e+06
1.100335301262929170e+04 3.123209892610095441e+06
1.104025463111341196e+04 2.333358613327308558e+06
9.531232151569289272e+03 1.857947101737806574e+06
9.626813614261818657e+03 1.442667768243172672e+06
8.102656902946995615e+03 1.089586980861233314e+06
7.311975285272466863e+03 9.182394864983597072e+05
7.877825445038031830e+03 8.560238524554450996e+05
7.131254842222324442e+03 7.507629385200466495e+05
6.848932467182773507e+03 7.188045332263391465e+05
6.785188555526439814e+03 6.998381358540215297e+05
6.395537264478977704e+03 6.604675638875708682e+05
5.711213465069028643e+03 6.116730333583429456e+05
5.662683084156272344e+03 6.031106923028439051e+05
5.720620022705204065e+03 5.910842851999335689e+05
5.251872341825986041e+03 5.336377798710109200e+05
5.202870536550386532e+03 4.607848575813344796e+05
5.009022610992839873e+03 4.429838754240672570e+05
4.880818578575901483e+03 4.300300486846129643e+05
4.700966975826007911e+03 3.924736649100887007e+05
4.581836047278717160e+03 3.497014386413441389e+05
4.510130243811884611e+03 3.349028256672296557e+05
4.410570655549627190e+03 3.235678850486538140e+05
4.296250261263502580e+03 3.183666053882940905e+05
4.139830471795476114e+03 2.862830386063755723e+05
4.120540560055450442e+03 2.832456277424923610e+05
4.069635800691306031e+03 2.691098493846583879e+05
3.993661617779257085e+03 2.619566925696331309e+05
3.916786215217595327e+03 2.579376894615166530e+05
3.819074219925617399e+03 2.527731044384705892e+05
3.793408939487792850e+03 2.440030808268199035e+05
3.646771985804007272e+03 2.393388244073892129e+05
3.623299221184577618e+03 2.367112681971747952e+05
3.584991502057362140e+03 2.322662700453982980e+05
3.555154080208807954e+03 2.233214846602517646e+05
3.464635910906504705e+03 2.191386641242168262e+05
3.388812709890941733e+03 2.176802956526144117e+05
3.385102996548678675e+03 2.080219696535806870e+05
3.290118679876452461e+03 2.056706062200331071e+05
3.288134711000054722e+03 1.985050922772134945e+05
3.264096210566804075e+03 1.909799604113485839e+05
3.167843812438093209e+03 1.933711098956939240e+05
3.154692628968332883e+03 1.888521695660798578e+05
3.105059602708368857e+03 1.831443096481845132e+05
3.069930017506523200e+03 1.813990176114812202e+05
3.050924635139022030e+03 1.796175102162602125e+05
3.040875172477706656e+03 1.764626097429737565e+05
3.010183848914282862e+03 1.741994201519573107e+05
3.003976573225968878e+03 1.707916162922426593e+05
2.963717008016361888e+03 1.672193493210959714e+05
2.924200700505877649e+03 1.666415496933936665e+05
2.905695380560519425e+03 1.624204739111040253e+05
2.859122350958352854e+03 1.557995456939460419e+05
2.888356247613487540e+03 1.557717954024101200e+05
2.800682457803233319e+03 1.514694533348146942e+05
2.799855880695829455e+03 1.507452474866487901e+05
2.794803854612461691e+03 1.467806074741508055e+05
2.773382785139080170e+03 1.457211352394243586e+05
2.776538623782903414e+03 1.453605067822817655e+05
2.743114006191409317e+03 1.433283995371776109e+05
2.718798699642953579e+03 1.424121680557368090e+05
2.715944325448567724e+03 1.409433013516861247e+05
2.691615763790180154e+03 1.392486726907117991e+05
2.691388946528550150e+03 1.373533141776637058e+05
2.654550151283357081e+03 1.348081132120921102e+05
2.649288288790255592e+03 1.337198342305571714e+05
2.639414292372837281e+03 1.328666642374709772e+05
2.615452317895986653e+03 1.307024388774714316e+05
2.626636429197254529e+03 1.308672830072305369e+05
2.590479413928328086e+03 1.292971955654753110e+05
2.603377368022038354e+03 1.289789623484582989e+05
2.578567378818920588e+03 1.275603870079361222e+05
2.557517781113736419e+03 1.243728280086553568e+05
-3.941662797757113576e+08 1.562568948165209375e+14
-9.613038807433881760e+08 6.267057958987864844e+13
2.385203027212132215e+08 2.515023385928839844e+13
1.237176566053731740e+07 6.828268860227708008e+12
1.322119771122187525e+08 1.498902492432102148e+13
4.197602964918706566e+07 4.344981988015146973e+12
1.575791102805278301e+08 8.764166380040472656e+12
2.733187147856767476e+07 1.616476870879476562e+12
1.225567324777309224e+07 6.957900291675437012e+11
4.371694570733595639e+07 4.325749087644862305e+12
6.816512782755251229e+07 7.200054166363711914e+12
3.544048944166778028e+07 1.759960455978811279e+12
1.547281310832723230e+07 5.798174819239055176e+11
1.051520927919563353e+08 5.835474577662125977e+12
1.947678445892580599e+07 1.172538990426274902e+12
8.335099573971644044e+06 4.853838971057567139e+11
4.841485083737947047e+06 4.507987465815559692e+11
3.235168940814557672e+07 1.866761306586609619e+12
2.078470495119768009e+07 6.963438015108431396e+11
4.989207255541104078e+07 4.331930588010256348e+12
2.205409810058382154e+07 1.076960384491018433e+12
1.056959923465584964e+07 4.076178846329318237e+11
7.418617434561099857e+06 3.379657110964752197e+11
8.341088751714935899e+07 3.194034720909835449e+12
1.370492186211274564e+07 6.125353387397103271e+11
7.291791393288023770e+06 2.716100377011080322e+11
4.855883434255462140e+06 2.533475162295860291e+11
1.817244834819380194e+06 1.943628845049350281e+11
2.308605744148865342e+07 8.593505770359284668e+11
2.097022586196065322e+07 1.104078845322481445e+12
1.490114503325226903e+07 4.464194533982028809e+11
8.010163041480034590e+06 2.775889248300180054e+11
2.781598765414005518e+07 2.472379096604565918e+12
1.660098226280894876e+07 5.965852484560097656e+11
8.135790216371994466e+06 2.297636156163745728e+11
5.554731923076041043e+06 1.757208767077433777e+11
2.486836709434725344e+06 1.332778264488873291e+11
6.786517537083950639e+07 2.131504853039900146e+12
9.399902079146146774e+06 3.792540205654621582e+11
5.428316426456600428e+06 1.812798661746229858e+11
3.367866928430385888e+06 1.365441314046566772e+11
2.903377861866604537e+06 9.523276839341514587e+10
5.928570945748873055e+05 7.332382049222462463e+10
1.504652319177448750e+07 5.454223457541274414e+11
9.846638090972181410e+06 3.042584343747951050e+11
1.827513054665724188e+07 6.518746451433171387e+11
1.179886933289883658e+07 2.721372105092844238e+11
5.838194964027747512e+06 1.631309799932528076e+11
3.876875505677461624e+06 1.038437888353558350e+11
7.049919851698994637e+06 1.760379130386884277e+12
1.321091352044425160e+07 4.070632476394537964e+11
6.441912670134801418e+06 1.702829849775076294e+11
3.728747542434044182e+06 1.149911088606234436e+11
2.862321083608932793e+06 8.046119423560256958e+10
1.813763923624109477e+06 6.274439291982981110e+10
5.616201359455464780e+07 1.622798267834746582e+12
8.198020943350225687e+06 2.915809887936914062e+11
4.933073466343954206e+06 1.487906461614196777e+11
2.579922602216854692e+06 9.852527145528190613e+10
1.244196563650639728e+06 7.321654056938389587e+10
8.988500314271766692e+05 5.519492271760007477e+10
6.573261076413094997e+04 4.707941962397843170e+10
8.477991776485681534e+06 3.352523932782300415e+11
1.206572674149952084e+07 3.168894046116422119e+11
7.509851160252034664e+06 1.916703774642310181e+11
4.355244326730865985e+06 1.094556895662200165e+11
1.488032547420858592e+07 4.320756740037962646e+11
8.073772926309559494e+06 1.909222929412473755e+11
4.192358577325686812e+06 1.140332962676053925e+11
2.797812933086026460e+06 7.974000261413568115e+10
1.565009445329908282e+06 5.895755047408785248e+10
-5.957902354911655188e+06 1.286492081056066650e+12
9.684674245111860335e+06 2.992038753040096436e+11
5.395858687999051064e+06 1.381335685543893738e+11
2.830562598418083042e+06 8.505534830024774170e+10
1.776645976297905669e+06 6.684509016983038330e+10
7.815393986693937331e+05 4.956422973131503296e+10
6.131861272668968886e+05 4.219373777028436279e+10
3.855332653443650901e+07 1.150494943431576904e+12
6.705750060038931668e+06 1.937997041219709473e+11
2.903943789251118898e+06 1.175593909808746490e+11
2.093505876353196800e+06 6.846730872837005615e+10
1.238802681026309729e+06 5.705123200042441559e+10
7.508575452888086438e+05 4.353630610114051819e+10
2.844374148291349411e+05 3.672527963908869934e+10
-4.892477825908362865e+05 3.225878106524579239e+10
6.602861503081608564e+06 2.026471288121959839e+11
5.631673524503381923e+06 1.125574045733902283e+11
7.972753768991902471e+06 2.170081293956449585e+11
5.258942293064787984e+06 1.282727519204731293e+11
2.786866609567806125e+06 8.115891788359855652e+10
1.170486361152768135e+06 5.781923089927206421e+10
9.392492780354082584e+06 3.249765764304832764e+11
6.631243449399597943e+06 1.472065460258427124e+11
2.492756512139171362e+06 8.185803181262167358e+10
2.024500705271938816e+06 6.279203765080245209e+10
1.475910911970982328e+06 4.799730536522213745e+10
8.972659119925927371e+05 4.031309930673439026e+10
-1.261096508541995287e+07 9.330729544679277344e+11
7.508719450792480260e+06 2.116061665113027649e+11
3.909422266092754900e+06 1.113908505710373230e+11
1.835985248426754028e+06 6.538659655655133820e+10
1.255830257833145559e+06 5.125399046946189880e+10
1.018837438240053132e+06 4.014233499569913483e+10
7.175960526771750301e+05 3.455856422796144104e+10
3.211850021287407726e+05 2.998087552429050827e+10
3.539516662992699444e+07 8.918170734575932617e+11
4.219993585071187466e+06 1.447548333491406250e+11
1.424615037732422352e+06 9.349620712877059937e+10
1.063020986073870212e+06 5.579309636135865784e+10
1.141580220680229366e+06 4.509185752499394226e+10
6.208385693221613765e+05 3.583473284327066040e+10
3.561410649766083807e+05 3.025713266518161774e+10
2.883331158163584769e+05 2.569989452070631409e+10
-8.137393410266786814e+05 2.122837098127341843e+10
5.971923758111841977e+06 1.308931368055617676e+11
6.418675089445635676e+06 1.479715387799192200e+11
4.386966286685582250e+06 8.383964414447996521e+10
2.135677557378184050e+06 5.741976432841579437e+10
5.119137678074285388e+06 1.697858367081110535e+11
4.513560872593395412e+06 9.898094447538822937e+10
2.342556655230276287e+06 6.332910870766360474e+10
1.535169001611957327e+06 4.538393359160664368e+10
3.956516810049936175e+05 3.822494067295445251e+10
7.489251906820576638e+06 2.375484064496114502e+11
4.918127283943559974e+06 1.203036902111746216e+11
2.203612332886582240e+06 6.697476248411136627e+10
1.506974812706388533e+06 4.921920375545925903e+10
1.056995074235346168e+06 3.603531216785483551e+10
7.305419899595659226e+05 3.202401622863113403e+10
2.794131888916864991e+05 2.774008847120395279e+10
-2.510005277368175983e+07 7.448434792931702881e+11
5.299081434491779655e+06 1.679240712341290283e+11
2.905648913620226085e+06 9.144863775833648682e+10
1.637017666464507580e+06 5.479240344183980560e+10
6.498561144482139498e+05 4.265901159214692688e+10
5.626778497266639024e+05 3.229494171493629456e+10
2.908918123585954309e+05 2.842117591059391403e+10
4.046217061960399151e+05 2.354510943880264664e+10
-1.619823535392433405e+04 1.849701917204634094e+10
3.297898667032213509e+07 7.539588141262742920e+11
2.509740321056928486e+06 1.221990003532098999e+11
1.674308520838126540e+06 7.888105370821566772e+10
1.110825633894355968e+06 4.723035888041546631e+10
6.337215342099610716e+05 3.804076890530435944e+10
3.467827983590811491e+05 2.935961402645383835e+10
1.633184909734670073e+05 2.480749583438928604e+10
1.587321048096530139e+05 2.155379069195624161e+10
-1.233583907173946500e+04 1.763308279388661575e+10
-1.122025881625659764e+06 1.592933468921252060e+10
4.559448683444323018e+06 9.604912846841247559e+10
2.827295337242901325e+06 6.589032683056423950e+10
4.652082853187538683e+06 1.113084972362546844e+11
3.670646352239279076e+06 6.957286223855619812e+10
1.812714104059128091e+06 4.732680422572746277e+10
8.523150697795152664e+05 3.697716352472515869e+10
4.880827906703233719e+06 1.259056744558731689e+11
