# Train Val
-7.894384935187797048e+00 -8.588017661850173567e+00
-8.591711246718963579e+00 -8.641187451102517514e+00
-8.631749458611011505e+00 -8.661214655095880843e+00
-8.689258103569349245e+00 -8.438595505503865724e+00
-8.903417728841304779e+00 -9.194043357650954817e+00
-9.437176788846651121e+00 -9.384753369665764566e+00
-9.676382207622131304e+00 -1.015372678831026221e+01
-1.010741844276587109e+01 -1.023478560014204497e+01
-1.027151673287153244e+01 -1.064062934726863752e+01
-1.044057736173272133e+01 -1.082547460283551821e+01
-1.060309079289436340e+01 -1.076753789728338084e+01
-1.075404629483819008e+01 -1.098212214878627258e+01
-1.108147196968396564e+01 -1.130230252154461823e+01
-1.104300725832581520e+01 -1.152568595440356702e+01
-1.144047479579846005e+01 -1.144524711757511248e+01
-1.159886255239447017e+01 -1.153999610999961867e+01
-1.174063337594270706e+01 -1.231237779344831118e+01
-1.179222226515412331e+01 -1.219087625478769255e+01
-1.204813823352257351e+01 -1.210922718048095703e+01
-1.201434095948934555e+01 -1.209949540472649865e+01
-1.219592310239871402e+01 -1.243871047280051556e+01
-1.220170835157235523e+01 -1.235166993079247355e+01
-1.248576243718465228e+01 -1.278212610467687860e+01
-1.240994675457477570e+01 -1.276193872674719110e+01
-1.267396946003039737e+01 -1.259639612420812860e+01
-1.264764572928349118e+01 -1.300849684182699662e+01
-1.273919076969226261e+01 -1.297847039358956422e+01
-1.292013792196909527e+01 -1.291634995596749391e+01
-1.291365925222635269e+01 -1.251683472967767052e+01
-1.292416998247305493e+01 -1.319568662519578872e+01
-1.308181787778933902e+01 -1.343347898706213250e+01
-1.309506673117478748e+01 -1.282290540422711977e+01
-1.328089687724908252e+01 -1.237948813995757646e+01
-1.326145167400439639e+01 -1.371837238212684618e+01
-1.332722296317418476e+01 -1.345256256747555490e+01
-1.330155517905950546e+01 -1.372025717698134351e+01
-1.345976643264293671e+01 -1.283824236981280364e+01
-1.357926410933335681e+01 -1.394539576691466465e+01
-1.369176823645830154e+01 -1.394872703799953761e+01
-1.368611960609753986e+01 -1.310903913324529491e+01
-1.377117005735635757e+01 -1.401204652910108628e+01
-1.371884241700172424e+01 -1.360273312903069787e+01
-1.388582330445448498e+01 -1.372290633560775142e+01
-1.363343784709771533e+01 -1.406372735407445340e+01
-1.370213061571121216e+01 -1.391350197482418771e+01
-1.381798359503348728e+01 -1.410164601462227907e+01
-1.389807864526907544e+01 -1.333501839328121896e+01
-1.407531094551086426e+01 -1.400189309305958929e+01
-1.402921189119418521e+01 -1.350762063806707225e+01
-1.398928504685560803e+01 -1.429987964382419285e+01
-1.395320072025060654e+01 -1.432452414871810298e+01
-1.409325768301884274e+01 -1.445669062725909271e+01
-1.415799176941315274e+01 -1.414414840549617658e+01
-1.408436637371778488e+01 -1.317118649668507757e+01
-1.423246964812278748e+01 -1.452182840372060824e+01
-1.408462831626335721e+01 -1.387978197073007536e+01
-1.413487630089124103e+01 -1.353825449014638949e+01
-1.435490525513887405e+01 -1.439510720736020488e+01
-1.429694605370362659e+01 -1.475589755912879930e+01
-1.433402988314628601e+01 -1.401642987635228543e+01
-1.458518235137065311e+01 -1.410088988712855773e+01
-1.442380049824714661e+01 -1.434809847001905503e+01
-1.441554558773835559e+01 -1.288669021408279214e+01
-1.438793928921222687e+01 -1.327494759993119722e+01
-1.440289413432280163e+01 -1.359983710499552956e+01
-1.449906769146521945e+01 -1.447248997626366496e+01
-1.468409657726685147e+01 -1.453643047035514613e+01
-1.462822924554347992e+01 -1.482227891451352519e+01
-1.474024030566215515e+01 -1.462054808728106536e+01
