# Train Val
-7.641575870414574645e+00 -1.100727007939265256e+01
-1.118329745034376721e+01 -1.105601550371218877e+01
-1.122484968105951886e+01 -1.125438489669408604e+01
-1.126721926530202289e+01 -1.127454911745511623e+01
-1.126101947824160199e+01 -1.124331960922632412e+01
-1.126706731816132923e+01 -1.118354217822735208e+01
-1.129002342621485333e+01 -1.132211455320700644e+01
-1.131041579941908459e+01 -1.126522196256197361e+01
-1.133479950328668018e+01 -1.134745739667843623e+01
-1.137689617276191711e+01 -1.139805109072954181e+01
-1.138279599944750409e+01 -1.145707328502948386e+01
-1.147697755694389343e+01 -1.158011250618176646e+01
-1.160508053998152356e+01 -1.174267230889735991e+01
-1.170487926900386810e+01 -1.146492175566844374e+01
-1.179035536944866180e+01 -1.204955736796061139e+01
-1.189770306646823883e+01 -1.200792755224765962e+01
-1.196734997630119324e+01 -1.201653566115941807e+01
-1.207535796860853772e+01 -1.189573503151918032e+01
-1.209721637268861194e+01 -1.193610000610351562e+01
-1.217097691198190113e+01 -1.187841349381666944e+01
-1.226588709652423859e+01 -1.237333510472224241e+01
-1.224780159691969494e+01 -1.236926012772780226e+01
-1.235732277234395404e+01 -1.244001735785068696e+01
-1.248174738883972168e+01 -1.215781292548546411e+01
-1.248692788183689117e+01 -1.258349223014635854e+01
-1.258957160015900989e+01 -1.258347870753361697e+01
-1.252268836895624737e+01 -1.177327896998478884e+01
-1.265494359036286731e+01 -1.259867413838704486e+01
-1.274230695764223675e+01 -1.269523645058656314e+01
-1.278980860610803028e+01 -1.282522111061291881e+01
-1.276385765274365802e+01 -1.284648049183380891e+01
-1.282510732114315033e+01 -1.291691775199694447e+01
-1.271884487072626690e+01 -1.280577970162416079e+01
-1.282969066500663757e+01 -1.279881051870492747e+01
-1.294282120962937732e+01 -1.279693217155260854e+01
-1.295860307415326496e+01 -1.292559119982597160e+01
-1.294480193157990833e+01 -1.286000743279090308e+01
-1.303997976084550281e+01 -1.302250358385917473e+01
-1.303006159265836139e+01 -1.279527495457575803e+01
-1.302829293906688690e+01 -1.243035937578250127e+01
-1.307045182585716248e+01 -1.316143561632205206e+01
-1.318426146606604199e+01 -1.315679545280260854e+01
-1.318063213427861591e+01 -1.313476701883169362e+01
-1.325395266711711884e+01 -1.284224162957607085e+01
-1.324393019080162048e+01 -1.306766884143535989e+01
-1.324422784646352191e+01 -1.337422850193121526e+01
-1.335379017889499664e+01 -1.321646719712477491e+01
-1.336460417509078979e+01 -1.350500921102670482e+01
-1.327378772695859332e+01 -1.315301892696282771e+01
-1.337502716978391071e+01 -1.324008569961939052e+01
-1.348499168952306171e+01 -1.316678409087352186e+01
-1.349789677063624005e+01 -1.341560199933174324e+01
-1.350340625643730164e+01 -1.331532554137401014e+01
-1.347896816829840283e+01 -1.352410270006228643e+01
-1.336387942234675030e+01 -1.349688515296349145e+01
-1.341678005456924438e+01 -1.335731812012501329e+01
-1.372415667275587658e+01 -1.367967033386230469e+01
-1.356265855332215686e+01 -1.349032013232891458e+01
-1.368779341876506805e+01 -1.320028001834184650e+01
-1.368618791798750500e+01 -1.371973350720527840e+01
-1.377661323050657849e+01 -1.340791878333458520e+01
-1.365967944264411926e+01 -1.320452443147316934e+01
-1.371978798011938672e+01 -1.311249554462921907e+01
-1.388608141740163227e+01 -1.380576542096260262e+01
-1.368807579080263714e+01 -1.380603592212383646e+01
-1.368879837791124920e+01 -1.216962401072184186e+01
-1.391585726539293866e+01 -1.392542330423990826e+01
-1.390734725197156330e+01 -1.408722134125538439e+01
-1.384849862754344940e+01 -1.309319921640249440e+01
-1.401440123220284839e+01 -1.407525255741217229e+01
-1.413048158586025238e+01 -1.335328867496588323e+01
-1.389496974150339703e+01 -1.404607582092285156e+01
-1.415141968429088593e+01 -1.406119923713879771e+01
-1.418199778099854846e+01 -1.413737282386192895e+01
-1.412982316315174103e+01 -1.311501683944310948e+01
-1.408473599950472455e+01 -1.377150887709397509e+01
-1.417761577169100384e+01 -1.356752356504782675e+01
-1.411640831828117371e+01 -1.355134937090751457e+01
-1.421097034712632556e+01 -1.417684124677609248e+01
-1.428334992627302746e+01 -1.421212206131372646e+01
-1.417775365213553052e+01 -1.430539417266845703e+01
-1.433952051897843738e+01 -1.360708835797432137e+01
-1.440576154490312000e+01 -1.435463897998516458e+01
-1.438979747891426086e+01 -1.441366635836087795e+01
-1.438079140583674054e+01 -1.420473683186066438e+01
-1.439187144736448865e+01 -1.395026818299904825e+01
-1.440916560093561749e+01 -1.445569889362041849e+01
-1.435445539653301239e+01 -1.431646892351981926e+01
-1.454848339160283466e+01 -1.375324711432823754e+01
-1.441388457516829114e+01 -1.282806799961970334e+01
-1.463666902482509613e+01 -1.451401549119215773e+01
-1.453976844747861286e+01 -1.445234313377967261e+01
-1.459692908823490143e+01 -1.381744401882856366e+01
-1.441890433430671692e+01 -1.422382692190316966e+01
-1.461701960364977460e+01 -1.383063311454577260e+01
-1.453033595780531506e+01 -1.421810079232240298e+01
-1.471070659657319446e+01 -1.411587614890856557e+01
-1.457186511655648609e+01 -1.457879914992894932e+01
-1.466721327106157879e+01 -1.430340876946082496e+01
-1.464655939737955670e+01 -1.392110232817820936e+01
-1.464891903599103351e+01 -1.466852547572209353e+01
-1.479109460115432739e+01 -1.431487626295823290e+01
-1.461777269343535046e+01 -1.421736345535669521e+01
-1.483467084169387817e+01 -1.372455975948235896e+01
-1.457987143099308014e+01 -1.412688120817526816e+01
-1.471519348522027393e+01 -1.460435950450408171e+01
-1.470822395881017108e+01 -1.474768281594300845e+01
-1.484009486436843872e+01 -1.410005112183399767e+01
-1.470674593249956708e+01 -1.460238434718205447e+01
-1.481401878098646741e+01 -1.450172690856151014e+01
-1.484399675826231579e+01 -1.447128383929912943e+01
-1.472738268971443176e+01 -1.457897357451609999e+01
-1.481886234879493713e+01 -1.454283076066237257e+01
-1.470740420619646649e+01 -1.429782192523662943e+01
-1.475936434666315655e+01 -1.489638888530242156e+01
-1.493793210883935352e+01 -1.483403394161126521e+01
-1.495864445964495282e+01 -1.482114584018022541e+01
-1.476936018466949463e+01 -1.395278280209272381e+01
-1.498148115972677807e+01 -1.479402940701215741e+01
-1.495594411094983478e+01 -1.452048228337214475e+01
-1.489962953329086304e+01 -1.479514461908584977e+01
-1.487339549263318439e+01 -1.490448511563814549e+01
-1.482417825361092945e+01 -1.488665177271916384e+01
-1.508152223626772503e+01 -1.481275387299366564e+01
-1.486716011166572571e+01 -1.489756909394875528e+01
-1.496142707765102386e+01 -1.428178471785325243e+01
-1.503129394352436066e+01 -1.482659413264348025e+01
-1.479463574786981006e+01 -1.494420525966546442e+01
-1.506250402828057666e+01 -1.482846463032257844e+01
-1.500966976583003998e+01 -1.491314195975279233e+01
-1.490573020776112934e+01 -1.464291746188432697e+01
-1.507024009029070477e+01 -1.450570862109844583e+01
-1.496168991426626782e+01 -1.460261210417136191e+01
