# Train Val
-9.612158248821893736e+00 -1.142399200835785322e+01
-1.142136908819278140e+01 -1.146077787721311836e+01
-1.145600281407435794e+01 -1.145845649768779850e+01
-1.147517276803652386e+01 -1.128874709389426556e+01
-1.149670605609814267e+01 -1.153837786092386608e+01
-1.155453834682703018e+01 -1.170972643270120983e+01
-1.166685392707586288e+01 -1.188848569795682764e+01
-1.186859405289093594e+01 -1.192977069260238032e+01
-1.203514263778924942e+01 -1.176726793313955355e+01
-1.216612274199724197e+01 -1.095069607821377922e+01
-1.227922908465067486e+01 -1.210440662928989930e+01
-1.236110889166593552e+01 -1.245403637824120402e+01
-1.239660821855068207e+01 -1.240442584396956782e+01
-1.244522406160831451e+01 -1.256742663197703180e+01
-1.252319772044817547e+01 -1.251933928898402648e+01
-1.256051263213157654e+01 -1.273475614770666375e+01
-1.261832002798716168e+01 -1.249242311948305684e+01
-1.268482112636168857e+01 -1.282974109401950535e+01
-1.276772781709829907e+01 -1.268522080508145500e+01
-1.280591849237680435e+01 -1.292946810536570368e+01
-1.291224257647991180e+01 -1.307936279495041099e+01
-1.297450888405243496e+01 -1.309954228339257121e+01
-1.307009069124857525e+01 -1.305624761209859486e+01
-1.311134443680445294e+01 -1.346590390143456339e+01
-1.326781838635603528e+01 -1.307220280634892440e+01
-1.331638769060373306e+01 -1.338714407635973558e+01
-1.349432210127512555e+01 -1.354306649542474084e+01
-1.356273716439803501e+01 -1.339291658029927845e+01
-1.360187762478987317e+01 -1.378916885326434993e+01
-1.371193663775920868e+01 -1.379603025510713721e+01
-1.372626788169145584e+01 -1.398507769696124114e+01
-1.383075684309005737e+01 -1.375051234604476313e+01
-1.388212380061546902e+01 -1.396345554698597269e+01
-1.394399314622084241e+01 -1.391666056893088665e+01
-1.388784859577814679e+01 -1.399213906077595482e+01
-1.409645505001147647e+01 -1.408702824332497272e+01
-1.405277648071447949e+01 -1.424267379958908286e+01
-1.420619305968284607e+01 -1.408815624187518978e+01
-1.418324737499157528e+01 -1.447379847935267883e+01
-1.417272472629944424e+01 -1.428143704401982284e+01
-1.434529721488555332e+01 -1.215624266785460605e+01
-1.429929086069265942e+01 -1.459004163122796349e+01
-1.430018696933984756e+01 -1.396281548289509544e+01
-1.436659207940101624e+01 -1.356979776357675505e+01
-1.446090752383073230e+01 -1.449106485193425975e+01
-1.439187036454677582e+01 -1.443339205407477088e+01
-1.456435474256674389e+01 -1.455175964553634849e+01
-1.443019042909145355e+01 -1.396579850184452987e+01
-1.451044134547313114e+01 -1.408513131079735636e+01
-1.449523692578077316e+01 -1.423103943118801418e+01
-1.461743589242299457e+01 -1.464752397908792858e+01
-1.457258074978987317e+01 -1.473572288859974222e+01
-1.470371071249246597e+01 -1.495113281150917039e+01
-1.460086591541767120e+01 -1.468245472846093058e+01
-1.479704761256774326e+01 -1.494260116676231398e+01
-1.475336770216623883e+01 -1.466375698981346964e+01
-1.467682090650002102e+01 -1.439555678429541707e+01
-1.470498541494210620e+01 -1.336208186211524129e+01
-1.479972636699676514e+01 -1.485304720990069427e+01
-1.472630454103151898e+01 -1.473286627484606370e+01
-1.484334496408700943e+01 -1.508184351239885679e+01
-1.481000544627507587e+01 -1.444229570611730828e+01
-1.466602541009585003e+01 -1.421822022772454552e+01
-1.485159434129794498e+01 -1.503288863541243892e+01
-1.488089443743228912e+01 -1.395896712216463875e+01
-1.488404035071531872e+01 -1.479904553797337918e+01
-1.499855542431274991e+01 -1.516244849910983739e+01
-1.489358351876338382e+01 -1.515200227266782207e+01
-1.506035102158784866e+01 -1.429618424254578457e+01
-1.501541459063688855e+01 -1.523938068786224775e+01
-1.491323827952146530e+01 -1.499376973238858390e+01
-1.483376402407884598e+01 -1.480287930872533231e+01
-1.507365127652883530e+01 -1.480723776136125913e+01
-1.507156464954217334e+01 -1.350632692312265348e+01
-1.500720308969418149e+01 -1.471247531841327572e+01
-1.512093089024225812e+01 -1.503072928143786058e+01
-1.506247972448666950e+01 -1.480930429929262715e+01
-1.509025138368209262e+01 -1.536896990491198167e+01
-1.515874046583970447e+01 -1.404327992030552430e+01
-1.514830458660920520e+01 -1.471288865572446269e+01
-1.522991709907849689e+01 -1.533421857016427126e+01
-1.517159414043029209e+01 -1.474155537493817292e+01
-1.521883666018644909e+01 -1.489515191858465037e+01
-1.519038710494836231e+01 -1.498100325349089346e+01
-1.510818742712338825e+01 -1.508014150099320894e+01
