# Min Max
1.921700702188580908e+04 1.035835181377046555e+08
3.441538133048872260e+04 2.098806505025904998e+07
1.971723341633863674e+04 1.744583595389144495e+07
2.455622144086791013e+04 1.502435863308299519e+07
1.827832519364827749e+04 9.928671906916778535e+06
1.758240809891918252e+04 5.372339761687341146e+06
1.211988967520664301e+04 4.241613651934394613e+06
1.063073031404483118e+04 3.142973498060771264e+06
1.079583871993336470e+04 2.381817314171183389e+06
9.429428885899993475e+03 1.921829420940799173e+06
9.373617607839818447e+03 1.503018911466496764e+06
8.212342098919751152e+03 1.116249097093648044e+06
7.328949570773373125e+03 9.454751991036189720e+05
7.714442967861514262e+03 8.771120294084907509e+05
7.052427342297941323e+03 7.715468470680394676e+05
6.738264778417587877e+03 7.308239444605085300e+05
6.583964085709500978e+03 7.013431264193066163e+05
6.307049978992822616e+03 6.619188303388258209e+05
5.654397986190600932e+03 6.124095438744476996e+05
5.579593475621949437e+03 5.976245162662860239e+05
5.626914414956603650e+03 5.873747535117644584e+05
5.212321559709695975e+03 5.296833798096100800e+05
5.070390941971580105e+03 4.601761526860630256e+05
4.825944195368600958e+03 4.408359409784452291e+05
4.702909355437088379e+03 4.285980571509223082e+05
4.567323288404778395e+03 3.931656348588583642e+05
4.482625358786208380e+03 3.547130274279266596e+05
4.442222881079549552e+03 3.429194444057462388e+05
4.352056123801551621e+03 3.279770000909984810e+05
4.182776044490666209e+03 3.218968269933004631e+05
4.019065662141458233e+03 2.929468226719446830e+05
3.936050302162942899e+03 2.861081179083192837e+05
3.911262315198242050e+03 2.722996937479246408e+05
3.835728611328510851e+03 2.656292026493238518e+05
3.757721507799582469e+03 2.606313024342462595e+05
3.706439710773753632e+03 2.540116751838589262e+05
3.656350307195658388e+03 2.452951013746023236e+05
3.539358539221459068e+03 2.400642120490142261e+05
3.466862215896954240e+03 2.382260042223712080e+05
3.412580605935327185e+03 2.334049552172192780e+05
3.376746546808713902e+03 2.246399908480547019e+05
3.316942498382685244e+03 2.199021644702767371e+05
3.264260975043101553e+03 2.201204188410823699e+05
3.255339108706268689e+03 2.114739590090286511e+05
3.147403086671750316e+03 2.094329144348269620e+05
3.129953900988014084e+03 2.020479757210289827e+05
3.093029810319653734e+03 1.943591487498319766e+05
3.043541396015602459e+03 1.955863985570549848e+05
3.024808413805810687e+03 1.910001961964649672e+05
2.941156544586009204e+03 1.861659930902924680e+05
2.947374609962261275e+03 1.840469172648008680e+05
2.882312441353800750e+03 1.805141379241198883e+05
2.884033642603154931e+03 1.772193237943620188e+05
2.837810262292789503e+03 1.741837142860931053e+05
2.841361958457118362e+03 1.709389547997712507e+05
2.793765494674243655e+03 1.679790901391304214e+05
2.738856891017596354e+03 1.677821142882404383e+05
2.745387116170809804e+03 1.642567728376300365e+05
2.697593473604693827e+03 1.578411336960731423e+05
2.709091001500521998e+03 1.574867634867948655e+05
2.649299429076406341e+03 1.536597885303750227e+05
2.633693691523717462e+03 1.522834162489589071e+05
2.618568097184529506e+03 1.492827112375501601e+05
2.607241910259799624e+03 1.476366095426455431e+05
2.621735118298262478e+03 1.478112548776708427e+05
2.575277767174721248e+03 1.452494174070961599e+05
2.573226425359055156e+03 1.439087077175415470e+05
2.530460579813969616e+03 1.428447832280142466e+05
2.545818872441392614e+03 1.403969717898911040e+05
2.519982889098562737e+03 1.387704139549995598e+05
2.486601975547075199e+03 1.363234519486103090e+05
2.487555785355176795e+03 1.343510603757149947e+05
2.476369664729704709e+03 1.342576039163409441e+05
2.456681995593719876e+03 1.311384835611762537e+05
2.444850077816002340e+03 1.313519015149226470e+05
2.416327639815168823e+03 1.301849328543132287e+05
2.432045223325736515e+03 1.304065155580323335e+05
2.424309635057018568e+03 1.285428368451803253e+05
2.398728047979160237e+03 1.256934836693111429e+05
2.350972944004604825e-02 5.690765520730367566e-01
8.632087342629227167e-03 9.299352766548096838e-02
4.435932522744072681e-01 9.469936862249523912e-01
7.557429969395098590e-01 1.240261038235012991e+00
5.355759484237481161e-01 1.088804140410487786e+00
