# Train Val
-9.570771802216768265e+00 -1.135112856580065355e+01
-1.138027860224246979e+01 -1.144820966349019642e+01
-1.143838754047950168e+01 -1.148337639152229528e+01
-1.148692008107900620e+01 -1.156314238015707474e+01
-1.165207674851020236e+01 -1.169356524479853654e+01
-1.237472712372740169e+01 -1.359390310807661528e+01
-1.396339175850152969e+01 -1.553732229208017301e+01
-1.524293403575817685e+01 -1.621364238045432415e+01
-1.586468462149302106e+01 -1.587943360712621121e+01
-1.647353459149599075e+01 -1.535883313959295116e+01
-1.661539208640654763e+01 -1.738761380430939951e+01
-1.656110320736964425e+01 -1.709328212985744599e+01
-1.698293301959832391e+01 -1.759026210339038343e+01
-1.687826843311389169e+01 -1.756629200724812279e+01
-1.705781546980142593e+01 -1.550846165496033535e+01
-1.709451840072870255e+01 -1.528898465788209649e+01
-1.743531954785187921e+01 -1.598928269472989250e+01
-1.733302439252535621e+01 -1.735259506919167194e+01
-1.731863273183504859e+01 -1.528381620134626040e+01
-1.774278142551581183e+01 -1.806429325450550394e+01
-1.751799724996089935e+01 -1.759023470692820368e+01
-1.746744797627131263e+01 -1.650568589297207822e+01
-1.776365519315004349e+01 -1.663932237996683483e+01
-1.771611829847097397e+01 -1.854014119234951963e+01
-1.774858623743057251e+01 -1.790307210947011995e+01
-1.773637786259253701e+01 -1.798715780926989183e+01
-1.790150675674279412e+01 -1.837231065081311598e+01
-1.782845641920964042e+01 -1.852406826266994599e+01
-1.792949429402748862e+01 -1.761113420709386901e+01
-1.802224014202753821e+01 -1.840527980358569593e+01
-1.811375125497579575e+01 -1.790943360638308945e+01
-1.802991140633821487e+01 -1.759692162352722988e+01
-1.815036096920569619e+01 -1.699409931975525723e+01
-1.796177376061677933e+01 -1.805428786091990290e+01
-1.808056940386692801e+01 -1.761462371380298109e+01
-1.794249702244997025e+01 -1.740073046746191920e+01
-1.839880995204051217e+01 -1.876459747165828418e+01
-1.835369091977675637e+01 -1.805514879350538493e+01
-1.813663139939308167e+01 -1.857013397712212210e+01
-1.829004979878664017e+01 -1.855009483981442031e+01
-1.867102055003245553e+01 -1.842216632892559147e+01
-1.854191598296165466e+01 -1.870386443200049342e+01
-1.835737407207489014e+01 -1.899795279564795436e+01
-1.842339630176623544e+01 -1.799966300617564841e+01
-1.854781634857257089e+01 -1.867999995838512106e+01
-1.852531230946381768e+01 -1.881404699598039798e+01
-1.855761495977640152e+01 -1.859417130111099681e+01
-1.861473597089449683e+01 -1.781062163315810309e+01
-1.861096330483754357e+01 -1.872269037172391748e+01
-1.873877916981776437e+01 -1.802624426259622936e+01
-1.844070340692996979e+01 -1.891584343105167676e+01
-1.860826039314270020e+01 -1.850894788023713389e+01
-1.861307205756505212e+01 -1.884779724517425947e+01
-1.867449329545100412e+01 -1.521743436293168550e+01
-1.867345462242762366e+01 -1.905253499514096660e+01
-1.868986752629280090e+01 -1.846634633200509157e+01
-1.878521176924308023e+01 -1.859995316839837542e+01
-1.884488121420145035e+01 -1.931154872844745540e+01
-1.871332021802663803e+01 -1.866266210977133255e+01
-1.859789240856965264e+01 -1.878370816367013063e+01
-1.870164333035548410e+01 -1.773866374771316501e+01
-1.876092634350061417e+01 -1.908750210799179925e+01
-1.895764120419820031e+01 -1.880362121780197171e+01
-1.894512343158324441e+01 -1.901770559533849791e+01
-1.909001599003871164e+01 -1.849447593441257354e+01
-1.891984692215919495e+01 -1.932409427692363835e+01
-1.894868913292884827e+01 -1.942788017570198278e+01
-1.908176705986261368e+01 -1.666745526450020876e+01
-1.892046671857436380e+01 -1.839260994304310159e+01
-1.871663501610358438e+01 -1.925806005899008255e+01
-1.903985136002302170e+01 -1.788953584200375957e+01
-1.897778418411811074e+01 -1.916328634534563236e+01
-1.902974905818700790e+01 -1.911735429392232533e+01
-1.922472570339838782e+01 -1.890009885020070257e+01
-1.916749814897775650e+01 -1.851685092975566960e+01
-1.921039097259442130e+01 -1.853738066437956533e+01
-1.907802080114682397e+01 -1.833426584516252689e+01
-1.905969397226969519e+01 -1.955554996837269144e+01
-1.936554704109827796e+01 -1.919659597223455094e+01
-1.931244866053263465e+01 -1.763196018763951045e+01
-1.942095492283503333e+01 -1.870644867884648477e+01
-1.941608199477195740e+01 -1.862737877337963610e+01
-1.945936586211125174e+01 -1.927115482478946973e+01
-1.931189705928166589e+01 -1.962073093265681933e+01
-1.945073910802602768e+01 -1.982583182198660765e+01
-1.931295862297217170e+01 -1.959607851350462226e+01
-1.944352297981579980e+01 -1.859246950025682210e+01
-1.929419166098038474e+01 -1.843139566693987064e+01
-1.940747612963120261e+01 -1.960438081815645361e+01
-1.947489735235770425e+01 -1.958368248134464551e+01
-1.952026174714167794e+01 -1.934049665773069648e+01
-1.943768207480509957e+01 -1.935285150849973945e+01
-1.939956922829151154e+01 -1.838763951635980121e+01
-1.950440697371959686e+01 -1.976114130639410504e+01
-1.974719059964020929e+01 -1.989118446003307028e+01
-1.944884859770536423e+01 -1.873257084635945091e+01
-1.963617661098639289e+01 -1.888404936604685602e+01
-1.971742402513821801e+01 -1.948141972430340729e+01
-1.982331880678733071e+01 -2.004681584742161959e+01
-1.955918637911478797e+01 -1.899371833305854196e+01
-1.947288355479637900e+01 -1.896432169381674271e+01
-1.956910971303780755e+01 -1.855959180113557139e+01
-1.976702977468569955e+01 -1.918768500043200120e+01
-1.974092193692922592e+01 -2.001198243475579730e+01
-1.980401595185200492e+01 -1.845859091622488890e+01
-1.954495767503976822e+01 -1.918103540098512383e+01
-1.965415363510449609e+01 -1.955099878682718639e+01
-1.979707282036542892e+01 -1.975551265865177442e+01
-1.963751739263534546e+01 -1.970334732996953164e+01
-1.976524281253417215e+01 -1.997133095233471423e+01
-1.994761579732100287e+01 -1.983328048904220609e+01
-1.995663953572511673e+01 -1.948970861558790446e+01
-1.998432809611161431e+01 -1.959201344576748838e+01
-1.974728937198718270e+01 -1.979097771334957656e+01
-1.972643234332402429e+01 -2.015807055188463792e+01
-1.969654393444458762e+01 -1.915656399417233047e+01
-2.005450686315695563e+01 -1.985572147369384766e+01
-1.979661763956149301e+01 -1.994903685829856244e+01
-2.001546244323253632e+01 -1.914728149810394697e+01
-1.995235064129034797e+01 -1.912159709187297096e+01
-1.973524716993172845e+01 -1.991211039060122090e+01
-1.992073995868365088e+01 -1.869254664631633034e+01
-2.006027520447969437e+01 -2.014342202768697376e+01
-1.988355869799852371e+01 -1.885447374566808776e+01
-2.003063025077183923e+01 -1.871995570442893353e+01
-1.995597961544990540e+01 -2.001288869783475732e+01
-2.006781737258036813e+01 -1.955044934656712741e+01
-2.001726564764976501e+01 -1.874135322075385446e+01
-2.000401444236437598e+01 -2.010989818325290557e+01
-2.004371616741021356e+01 -1.855192549816973724e+01
-2.021054215480883798e+01 -1.845775658743722047e+01
-1.980265800406535348e+01 -2.015895925249372311e+01
-1.996495566268761834e+01 -1.906471023311862822e+01
-1.998977199941873550e+01 -1.652748230525425654e+01
-2.019119029243787011e+01 -2.037490808808958320e+01
-2.025122935324907303e+01 -2.028536727211692181e+01
-2.037241534640391549e+01 -2.051582921015751992e+01
-1.999915234744548798e+01 -2.049339378654182653e+01
-2.014719707022110740e+01 -1.996790770741252175e+01
-2.017189862579107285e+01 -1.974882243515609304e+01
-2.015002259612083435e+01 -2.036299707982447416e+01
-2.021079446375370026e+01 -2.037031679029588460e+01
-2.009192627916733542e+01 -2.037796312802797871e+01
-2.040640305479367456e+01 -2.013623178160035820e+01
-2.009614086896181107e+01 -1.957729273957091465e+01
