# Train Val
-5.057279842595259645e+00 -1.015798664093017578e+01
-1.057627105712890625e+01 -1.077697734832763743e+01
-1.081578303376833539e+01 -1.099083313941955531e+01
-1.095700337489446063e+01 -1.106003117561340332e+01
-1.098396239678064923e+01 -1.097286925315856898e+01
-1.095352485775947571e+01 -1.103829698562622141e+01
-1.101987260580062866e+01 -1.100143413543701243e+01
-1.101883817712465863e+01 -1.098797512054443359e+01
-1.101817183693250080e+01 -1.101839237213134837e+01
-1.103164567550023456e+01 -1.104143404960632324e+01
-1.103726701935132404e+01 -1.103923578262329031e+01
-1.103129080931345563e+01 -1.107115893363952708e+01
-1.106210633118947406e+01 -1.117257151603698695e+01
-1.105297890305519104e+01 -1.120739040374755824e+01
-1.105815170208613019e+01 -1.104998655319213796e+01
-1.104150099555651288e+01 -1.110188207626342738e+01
-1.106586858630180359e+01 -1.113099384307861328e+01
-1.103441674510637860e+01 -1.104662289619445836e+01
-1.104203062256177326e+01 -1.110555424690246618e+01
-1.104211700956026654e+01 -1.103985595703125000e+01
-1.109280495842297931e+01 -1.106943554878234792e+01
-1.109699850281079669e+01 -1.103637514114379847e+01
-1.110841796795527081e+01 -1.112593984603881836e+01
-1.110516303777694702e+01 -1.081367692947387660e+01
-1.113191663225491901e+01 -1.124976863861084020e+01
-1.115777190526326557e+01 -1.139091558456420827e+01
-1.126659774780273438e+01 -1.125419230461120534e+01
-1.142626976966857910e+01 -1.149317364692688059e+01
-1.163749377926190753e+01 -1.144802618026733398e+01
-1.175763081510861774e+01 -1.185826277732849121e+01
-1.174848987658818622e+01 -1.124914388656616282e+01
-1.194133727749188800e+01 -1.193828215599060094e+01
-1.205085264643033405e+01 -1.195384182929992711e+01
-1.211241046587626080e+01 -1.188265023231506312e+01
-1.224799254536628723e+01 -1.137039599418640101e+01
-1.214486383398373981e+01 -1.243432445526122976e+01
-1.203689518570899963e+01 -1.163205165863037038e+01
-1.211137490471204181e+01 -1.202884006500244141e+01
-1.219284953673680683e+01 -1.255969748497009242e+01
-1.245472305019696613e+01 -1.256533551216125488e+01
-1.252468442916870117e+01 -1.255233879089355398e+01
-1.262655609846115112e+01 -1.266662921905517614e+01
-1.263691130280494690e+01 -1.281802692413330114e+01
-1.266990654667218585e+01 -1.287687244415283239e+01
-1.273705433805783649e+01 -1.290525679588317942e+01
-1.294600419203440289e+01 -1.238567996025085449e+01
-1.286663105090459247e+01 -1.321765761375427317e+01
-1.291427812973658185e+01 -1.301529808044433523e+01
-1.295581846435864826e+01 -1.316978712081909109e+01
-1.302440279722213745e+01 -1.315015945434570277e+01
-1.301862897475560565e+01 -1.284258632659912180e+01
-1.287950053811073303e+01 -1.311168031692504954e+01
-1.313636918862660785e+01 -1.296435260772705078e+01
-1.314607262611389160e+01 -1.338886141777038574e+01
-1.303326320648193359e+01 -1.331384372711181641e+01
-1.322151765227317810e+01 -1.339177198410034109e+01
-1.334639332691828351e+01 -1.347729268074035680e+01
