# Train Val
5.321838537851969697e+00 1.157790025075276619e+00
-6.452194092174371454e-01 -2.682298660278320312e+00
-2.704419930775960434e+00 -3.144707759221395005e+00
-3.129607240358988296e+00 -3.388879458109537612e+00
-3.524432202180226792e+00 -3.913787444432576645e+00
-4.479866385459899902e+00 -5.240070501963297822e+00
-5.758496840794880889e+00 -6.540235042572021484e+00
-6.559787789980570771e+00 -7.085836410522460938e+00
-6.869410872459411621e+00 -6.886094570159912109e+00
-6.921024481455485322e+00 -7.406809965769450166e+00
-6.849707643191019990e+00 -7.246059735616047881e+00
-7.234755039215087891e+00 -7.657489776611328125e+00
-7.423961162567138672e+00 -7.729366938273112275e+00
-7.512601494789123535e+00 -7.559272130330403350e+00
-7.585112412770588897e+00 -7.682787577311198213e+00
-7.668120582898457549e+00 -7.808924992879231475e+00
-7.745703339576721191e+00 -8.190046946207681700e+00
-7.974360386530558564e+00 -8.328527450561523438e+00
-8.116242965062459902e+00 -8.419992446899414062e+00
-8.294226010640462832e+00 -8.771051406860351562e+00
-8.484888037045797304e+00 -7.786740938822428681e+00
-9.619825601577758789e+00 -7.468180179595947266e+00
-9.534964561462402344e+00 -1.214156150817871094e+01
-7.679627974828084014e+00 -8.653269449869791075e+00
-9.332790215810140566e+00 -9.941991170247396425e+00
-1.247184181213378906e+01 -7.379453818003336885e+00
-8.926139593124389648e+00 -7.288924217224121094e+00
-1.139812803268432617e+01 -1.447866789499918561e+01
-1.470745722452799420e+01 -2.981159766515096177e+00
-7.724547386169433594e-01 -5.139715035756428740e+00
-5.900401194890339873e+00 -6.923470497131347656e+00
-7.415081302324931123e+00 -8.278615633646646543e+00
-8.317562222480773926e+00 -9.351456324259439512e+00
-1.025928680102030377e+01 -1.299955940246582031e+01
-1.464106845855712891e+01 -1.949577840169270715e+01
-1.345934716860453229e+01 -1.151403427124023438e+01
-1.488546331723531146e+01 -9.540713310241699219e+00
-1.086099410057067871e+01 -1.586488755544026752e+01
-1.635019866625468055e+01 -1.567697366078694721e+01
-1.314404149850209613e+01 -3.487131595611572266e+00
-8.942935208479562803e+00 -1.045446173350016217e+01
-1.581365116437276264e+01 -2.086352984110514441e+01
-1.610521483421325684e+01 -1.317699495951334576e+01
-1.369651031494140625e+01 -2.016129302978515625e+01
-1.331296646595001221e+01 -1.980017916361491004e+01
-1.771170083681742469e+01 -2.185194460550944129e+01
-1.514043450355529785e+01 -1.393135070800781250e+01
-1.569456728299458881e+01 -2.090028063456217566e+01
-2.242906713485717773e+01 -9.077203750610351562e+00
-1.709906641642252723e+01 -2.567508252461751184e+01
-1.820688704649607459e+01 -1.359969743092854877e+01
-1.045505889256795307e+01 -6.769461154937744141e+00
-1.352475464344024658e+01 -1.891234143575032434e+01
-2.246178642908732215e+01 -7.321222464243571260e+00
-1.607200626532236853e+01 -2.491556676228841027e+01
-2.144222227732340613e+01 -1.607766278584798059e+01
-2.014037497838338098e+01 -2.406022834777832031e+01
-1.737095944086710730e+01 -1.009775638580322266e+01
-1.521042688687642475e+01 -1.224099159240722656e+01
-1.865549333890279016e+01 -2.690259043375651160e+01
-2.337514273325602332e+01 -2.182210795084635535e+01
-1.795744919776916504e+01 -8.345752716064453125e+00
-1.139384269714355469e+01 -1.465037727355957031e+01
-1.817818196614583215e+01 -2.055576705932617188e+01
-2.204695415496826172e+01 -1.834655316670735559e+01
-2.129845150311787805e+01 -2.187935129801432410e+01
-2.460530948638916016e+01 -8.949607213338216738e+00
-1.214658864339192768e+01 -1.936270078023274621e+01
-2.024013988176981726e+01 -2.576429239908854285e+01
-2.531221723556518555e+01 -2.461815007527669152e+01
-2.519731966654459754e+01 -1.559661515553792377e+01
-1.636336032549540320e+01 -2.478515815734863281e+01
-1.432188443342844586e+01 -2.550028101603190223e+01
