# Train Val
4.595869382222493194e+00 1.057963073253631592e+00
-4.795576383670170917e-01 -2.406994501749674331e+00
-2.675697445869445801e+00 -3.401761054992675781e+00
-3.362023174762725830e+00 -3.856916824976603042e+00
-4.393781602382659912e+00 -5.426645437876383760e+00
-6.775835196177165010e+00 -8.510227521260580019e+00
-1.061999758084615131e+01 -1.301037279764811139e+01
-1.437281584739685059e+01 -1.780292256673176965e+01
-1.944091335932413855e+01 -2.421446609497070312e+01
-2.100191020965576172e+01 -2.284806887308756629e+01
-1.834814016024271766e+01 -2.307654380798339844e+01
-2.543232838312784949e+01 -2.277537473042805871e+01
-2.557901398340861121e+01 -2.986427307128906250e+01
-2.426896603902180871e+01 -2.413255755106608191e+01
-2.442440239588419715e+01 -2.416946283976237098e+01
-2.771150302886962891e+01 -3.177537663777669152e+01
-3.158274857203165809e+01 -3.209227879842122633e+01
-2.705457671483357629e+01 -3.079958788553873816e+01
-3.113013060887654504e+01 -2.557356516520182410e+01
-2.927285321553548059e+01 -3.135437075297037879e+01
-3.199033419291178504e+01 -3.047703615824381629e+01
-3.147662401199340820e+01 -1.785892422993977746e+01
-2.429767004648844519e+01 -2.531259282430012902e+01
-3.125337934494018555e+01 -3.540941111246744555e+01
-3.441121768951416016e+01 -2.897245343526204309e+01
-2.736902491251627723e+01 -2.836234982808430871e+01
-3.259866491953531664e+01 -3.342675781250000000e+01
-3.355815315246582031e+01 -3.139029312133789062e+01
-3.416492271423339844e+01 -3.082081921895344934e+01
-3.352580054601033765e+01 -3.722274144490560133e+01
-3.519080034891764086e+01 -3.457381947835286695e+01
-3.053078730901082238e+01 -2.988002395629882812e+01
-3.037487379709879676e+01 -2.638062222798665246e+01
-3.026294374465942383e+01 -3.253262011210123461e+01
-3.643292903900146484e+01 -3.678456115722656250e+01
-1.290116163094838519e+01 -1.835558509826660156e+01
-2.173312155405680457e+01 -2.641655540466308594e+01
-3.382864252726236742e+01 -3.661875915527343750e+01
-3.596140130360921461e+01 -3.316221110026041430e+01
-3.457509867350260180e+01 -3.787086868286132812e+01
-3.103443129857381066e+01 -3.222674942016601562e+01
-3.391847594579061109e+01 -3.276490147908528883e+01
-3.422444772720336914e+01 -3.431104532877603930e+01
-3.327986733118692797e+01 -3.758720779418945312e+01
-3.707483959197998047e+01 -3.731447728474935133e+01
-3.544889275232950610e+01 -3.237913386027017992e+01
-2.805045747756958008e+01 -2.468460909525553504e+01
-3.232331673304239672e+01 -3.149028778076171875e+01
-3.440720526377359789e+01 -3.571424865722656250e+01
-3.757799752553304273e+01 -3.772175725301107008e+01
-3.437452809015909594e+01 -3.413630930582682055e+01
-3.589230505625406664e+01 -3.808195114135742188e+01
-3.611914920806884766e+01 -3.337926101684570312e+01
-3.670161914825439453e+01 -3.376902770996093750e+01
-3.302583726247151930e+01 -3.316230901082357008e+01
-3.500120544433593750e+01 -3.489068603515625000e+01
-3.548092222213745117e+01 -3.632322311401367188e+01
-3.781908051172892016e+01 -4.156343460083007812e+01
-3.870540014902750414e+01 -3.331830088297525805e+01
-3.651146570841471117e+01 -3.618165079752603930e+01
-3.776453685760498047e+01 -3.784347025553385180e+01
-3.826806386311849195e+01 -3.775053405761718750e+01
-3.778439203898111742e+01 -3.479469045003255445e+01
-3.508969370524088305e+01 -3.912672805786132812e+01
-3.698173379898071289e+01 -3.067138481140136719e+01
-3.333850113550821703e+01 -4.096960703531900805e+01
-3.878416029612223070e+01 -3.901036834716796875e+01
-3.937442588806152344e+01 -4.301841862996419508e+01
-3.459226592381795484e+01 -3.775385793050130445e+01
-3.787905470530191820e+01 -2.921479733784993371e+01
-2.855093288421630859e+01 -3.087584940592448035e+01
-3.549333842595418531e+01 -3.747023773193359375e+01
-3.763055229187011719e+01 -3.549254226684570312e+01
-3.813788954416910570e+01 -3.746327209472656250e+01
-3.672789446512857836e+01 -3.612912368774414062e+01
-3.698445638020833570e+01 -3.834617360432942945e+01
-3.801268259684244555e+01 -3.202933311462402344e+01
-3.708597628275553149e+01 -3.663903935750325758e+01
-3.845534642537435133e+01 -3.493040593465169508e+01
-3.954805819193521899e+01 -3.631799952189127367e+01
-4.017380301157633227e+01 -3.051654561360676965e+01
-2.883102369308471680e+01 -2.999190966288248816e+01
-3.777596060434976977e+01 -4.034532674153646070e+01
-3.621627998352050781e+01 -3.336220041910807055e+01
-3.768822224934896070e+01 -4.162642542521158617e+01
-3.754973284403482836e+01 -3.849286524454752367e+01
-3.426646757125854492e+01 -3.513492965698242188e+01
-3.753939565022786695e+01 -3.827111180623372633e+01
-3.943577067057291430e+01 -3.945384724934896070e+01
-4.088295332590738695e+01 -4.277715428670247633e+01
-3.760260820388793945e+01 -3.760758209228515625e+01
-3.614714813232421875e+01 -3.527844111124674242e+01
-3.697702916463216383e+01 -3.873720041910807055e+01
-3.856409390767415601e+01 -4.190541966756185133e+01
-3.934895610809326172e+01 -3.292465019226074219e+01
-3.507225020726522047e+01 -3.310487238566080492e+01
-3.560944843292236328e+01 -3.994924545288085938e+01
-3.874020036061605055e+01 -3.920626195271810133e+01
-3.570194276173909742e+01 -3.511892827351888258e+01
-3.680800914764404297e+01 -3.670767593383789062e+01
-3.990470314025878906e+01 -4.312065124511718750e+01
-4.282274468739827711e+01 -3.908693567911783617e+01
-4.134928480784098070e+01 -3.162810770670573035e+01
-3.394890817006429273e+01 -3.612283452351888258e+01
-3.717464192708333570e+01 -4.228974151611328125e+01
-3.946555932362874586e+01 -3.857161966959635180e+01
-3.564421256383260328e+01 -3.332079188028971117e+01
-3.578411769866943359e+01 -4.088522847493489820e+01
-3.666017039616902906e+01 -3.463611984252929688e+01
-3.668080838521321851e+01 -3.311476135253906250e+01
-3.735599899291992188e+01 -4.243561172485351562e+01
-4.093660895029703539e+01 -4.256424585978189867e+01
-4.096138572692871094e+01 -3.967223358154296875e+01
-4.035388692220052320e+01 -3.770194625854492188e+01
-3.934335708618164062e+01 -4.138360341389974195e+01
-3.894772148132324219e+01 -3.483214950561523438e+01
-3.850571854909261305e+01 -4.211947504679361742e+01
-3.948779805501302320e+01 -4.354534912109375000e+01
-3.873753643035888672e+01 -3.959783554077148438e+01
-4.005864143371582031e+01 -3.893908564249674242e+01
-3.936295223236083984e+01 -3.534128697713216383e+01
-3.708535766601562500e+01 -3.932588831583658617e+01
-4.127343432108560961e+01 -4.601438395182291430e+01
-3.985287698109944898e+01 -3.581040573120117188e+01
-3.845591068267822266e+01 -3.401609039306640625e+01
-3.784527746836344164e+01 -3.904218165079752367e+01
-3.942438570658365649e+01 -4.254017893473307055e+01
-3.726059468587239820e+01 -4.108583704630533617e+01
-3.359930690129598219e+01 -3.186199633280436316e+01
-3.730020427703857422e+01 -3.677379226684570312e+01
-3.872393417358398438e+01 -3.733522923787435133e+01
-3.444463984171549242e+01 -3.128752644856770715e+01
-3.527154684066772461e+01 -3.904295730590820312e+01
-3.830584812164306641e+01 -3.815655644734700758e+01
