# Train Val
4.268477633595466614e+00 8.208313286304473877e-01
-1.323114740351835961e+00 -2.570893685022989761e+00
-2.916776200135549058e+00 -3.423731565475463867e+00
-3.449047128359476577e+00 -3.805951356887817383e+00
-4.259430527687072754e+00 -4.818073113759358428e+00
-5.446592688560485840e+00 -6.255101680755615234e+00
-6.652051051457722686e+00 -7.377810955047607422e+00
-7.428478121757507324e+00 -8.105226675669351621e+00
-8.787991245587667422e+00 -1.092089271545410156e+01
-1.258930285771687885e+01 -1.485028521219889264e+01
-1.570319565137227436e+01 -2.009414418538411340e+01
-1.876797644297282019e+01 -1.855097770690917969e+01
-1.891126116116841516e+01 -1.688881874084472656e+01
-1.938669880231221399e+01 -2.111583201090494910e+01
-2.164674250284830848e+01 -2.239314651489257812e+01
-2.072530412673950195e+01 -2.277534357706705848e+01
-2.106313657760620117e+01 -1.968668301900227746e+01
-2.163116105397542199e+01 -2.349343554178873816e+01
-2.328585195541381836e+01 -2.094800504048665246e+01
-2.254759629567464074e+01 -2.346541849772135535e+01
-2.186956071853637695e+01 -2.146160634358723840e+01
-2.277800401051839074e+01 -2.395359357198079309e+01
-2.413151788711547852e+01 -2.311455599466959754e+01
-2.376890182495117188e+01 -2.499928156534830848e+01
-2.374227952957153320e+01 -2.355729230244954309e+01
-2.348221492767333984e+01 -2.205144755045573035e+01
-2.238870096206665039e+01 -2.317519060770670691e+01
-2.227397505442301551e+01 -2.286852073669433594e+01
-2.150455109278361121e+01 -2.247320620218912879e+01
-2.348243236541748047e+01 -2.349928283691406250e+01
-2.388168795903523645e+01 -2.354228464762369910e+01
-2.478037246068318566e+01 -2.200687789916992188e+01
-2.278988933563232422e+01 -2.460393778483073035e+01
-2.462308200200398645e+01 -2.362085024515787879e+01
-2.515406703948974609e+01 -2.237155659993489465e+01
-2.391762447357177734e+01 -2.214942677815755090e+01
-2.442937501271565637e+01 -2.505199750264485559e+01
-2.454795138041178504e+01 -2.365635108947753906e+01
-2.427764781316121301e+01 -2.473394902547200402e+01
-2.364987182617187500e+01 -2.255796368916829309e+01
-2.534000889460245887e+01 -2.504413032531738281e+01
-2.453561671574910363e+01 -2.293607711791992188e+01
-2.448329416910807410e+01 -2.286169306437174598e+01
-2.460571289062500000e+01 -2.342498842875162879e+01
-2.522187725702921668e+01 -2.327005831400553504e+01
-2.487210814158121863e+01 -2.334807523091633996e+01
-2.468872006734212121e+01 -2.293934059143066406e+01
-2.531444915135701379e+01 -2.324249331156412879e+01
-2.564340909322102746e+01 -2.417371050516764441e+01
-2.525909916559855262e+01 -2.521655845642089844e+01
-2.549107662836710730e+01 -2.490542920430501184e+01
-2.560417175292968750e+01 -2.439219919840494910e+01
-2.509783093134562293e+01 -2.236287498474121094e+01
-2.521281909942626953e+01 -2.396250788370768348e+01
-2.599352693557739258e+01 -2.510821088155110559e+01
-2.484124898910522461e+01 -2.466069793701171875e+01
-2.442862224578857422e+01 -2.522176933288574219e+01
