# Train Val
3.695865606268247117e+00 2.198200821876525879e-01
-1.628624141216278076e+00 -2.798731009165445816e+00
-3.050152500470479477e+00 -3.444291830062866211e+00
-3.306557257970174302e+00 -3.327150265375772964e+00
-3.412832677364349365e+00 -3.377531925837198745e+00
-3.427176078160603989e+00 -3.413753112157186020e+00
-3.429646829764048110e+00 -3.437905867894490708e+00
-3.439802110195159912e+00 -3.460493246714273941e+00
-3.444681525230407715e+00 -3.423269112904866684e+00
-3.441974282264709473e+00 -3.466146548589070786e+00
-3.412007868289947510e+00 -3.514831622441609849e+00
-3.431330064932505142e+00 -3.667719125747680664e+00
-3.469826440016428482e+00 -3.465956131617228042e+00
-3.500780026117960464e+00 -3.535060962041219224e+00
-3.487921953201293945e+00 -3.304597218831380356e+00
-3.602624416351318359e+00 -3.776533762613932144e+00
-3.539577523867289077e+00 -3.303341388702392578e+00
-3.457547028859456528e+00 -3.720379749933878433e+00
-3.628345251083374023e+00 -3.410882314046224106e+00
-3.805950423081716050e+00 -3.732265631357828628e+00
-4.092977225780487061e+00 -4.716914971669514678e+00
-4.278522610664367676e+00 -4.397116899490356445e+00
-4.537571907043457031e+00 -4.216775258382161162e+00
-4.838551163673400879e+00 -4.820586840311686494e+00
-4.896535992622375488e+00 -5.157590548197428681e+00
-5.025480429331461885e+00 -5.014788945515950225e+00
-5.137954036394755342e+00 -4.814249038696289062e+00
-5.237117807070414521e+00 -5.045061747233073213e+00
-5.491268157958984375e+00 -5.218401273091633819e+00
-5.429362018903096221e+00 -5.325445969899495147e+00
-5.383425076802571319e+00 -5.386927604675292969e+00
-5.594174941380818389e+00 -5.404561837514241240e+00
-5.662883877754211426e+00 -5.099126974741618135e+00
-5.671012282371520996e+00 -5.305462360382080078e+00
-5.643592476844787598e+00 -5.462515989939372041e+00
-5.588525295257568359e+00 -4.994471867879231475e+00
-5.534095009167988799e+00 -5.551561355590820312e+00
-5.652678767840067842e+00 -5.578015327453613281e+00
-5.721238573392231963e+00 -4.964713096618652344e+00
-5.634923617045084931e+00 -5.420645554860432647e+00
-5.824338873227437041e+00 -5.539863745371500947e+00
-5.708158175150553681e+00 -5.838450272878010772e+00
-5.740721980730692842e+00 -5.659715811411540010e+00
-5.749266266822814941e+00 -5.511877854665120147e+00
-5.827972372372944854e+00 -5.655804475148518584e+00
-5.835495471954345703e+00 -5.620310465494791963e+00
-5.879036426544189453e+00 -5.630095163981120088e+00
-5.859963337580363252e+00 -5.815147082010905244e+00
-5.866601228713989258e+00 -5.642720699310302734e+00
-5.813294092814127900e+00 -5.002924442291259766e+00
-5.703073183695475556e+00 -5.480486551920573213e+00
-5.834705114364624023e+00 -5.499889214833577178e+00
-5.789454619089762666e+00 -5.463754653930664062e+00
-5.847860852877299287e+00 -5.739826838175456025e+00
-5.861710190773010254e+00 -5.675449848175048828e+00
-5.792971690495808623e+00 -5.584311644236247041e+00
-5.868168274561564424e+00 -5.807551860809326172e+00
-5.962415178616841338e+00 -5.802868684132893584e+00
-5.919564088185627959e+00 -5.616891066233317353e+00
-5.928097208340962432e+00 -5.878054777781168916e+00
-5.918715238571166992e+00 -5.529022057851155303e+00
-5.844541231791178681e+00 -5.701939582824707031e+00
-5.869173049926757812e+00 -5.327473163604736328e+00
-5.835337440172831514e+00 -5.720297813415527344e+00
-5.827472527821858428e+00 -5.485011418660481475e+00
-5.888700803120930694e+00 -5.543842951456706025e+00
-5.717703143755595185e+00 -5.413903554280598662e+00
-5.872079769770304658e+00 -5.538167158762614228e+00
-5.986506382624308564e+00 -5.767855008443196319e+00
-5.801803032557169892e+00 -5.463645299275715850e+00
-5.829688827196757295e+00 -5.730326016743977569e+00
-5.889869729677836396e+00 -5.523391564687092803e+00
-5.990701357523600556e+00 -5.640052318572998047e+00
-6.043172279993693330e+00 -5.535539944966633819e+00
-6.070829510688781738e+00 -5.411653200785319306e+00
-5.959987998008728027e+00 -5.558618704477946260e+00
-5.706889311472575166e+00 -5.417963504791259766e+00
-5.799124558766682647e+00 -5.655946890513102510e+00
-6.068932573000590303e+00 -5.638165314992268584e+00
-5.690194288889567353e+00 -4.958074728647868135e+00
-5.612449248631794951e+00 -5.321505546569824219e+00
-5.888493100802103974e+00 -5.453846136728922822e+00
-5.980300505956013701e+00 -6.058472315470377900e+00
-6.046368678410847686e+00 -5.756282647450764678e+00
-5.965075453122456572e+00 -5.237298011779785156e+00
-5.852847218513488770e+00 -5.212890863418579102e+00
-6.074798981348673799e+00 -5.320181687672932647e+00
-5.959910790125529267e+00 -5.170180479685465791e+00
-5.955162167549133301e+00 -5.656419912974040010e+00
-6.140849868456522920e+00 -5.362055460611979463e+00
-6.129231731096903779e+00 -5.457956314086914062e+00
-6.025551875432332061e+00 -5.541504700978596709e+00
-5.670086185137431123e+00 -5.509456952412922881e+00
-5.972282528877258301e+00 -5.776388486226399444e+00
-6.131015777587890625e+00 -5.514704227447509766e+00
-6.156663179397583008e+00 -5.417753537495930694e+00
-5.768593947092692353e+00 -5.199648857116699219e+00
-5.421930432319641113e+00 -4.785756270090739228e+00
-5.801200588544209502e+00 -4.991303920745849609e+00
-5.906674186388651826e+00 -5.569690704345703125e+00
-6.124252796173095703e+00 -5.613843123118082978e+00
-6.272428313891093232e+00 -5.355510075887043975e+00
-6.118369142214457490e+00 -5.545585473378499053e+00
-6.274250070254008271e+00 -4.915101448694865205e+00
-5.982404192288716338e+00 -5.187126318613688447e+00
-6.132241249084472656e+00 -5.616840680440266631e+00
-5.870611866315205596e+00 -5.822935581207275391e+00
-6.193574190139770508e+00 -5.160537719726562500e+00
-6.248785098393757842e+00 -5.113308906555175781e+00
-6.261109153429667451e+00 -5.026025931040446260e+00
-6.100991805394490264e+00 -5.438756624857584931e+00
-6.281309843063354492e+00 -5.556561946868896484e+00
-6.299391269683837891e+00 -5.314882278442382812e+00
-6.186501940091450713e+00 -5.061904271443684600e+00
-6.211765567461649873e+00 -4.965814590454101562e+00
-6.284505923589070342e+00 -4.995032787322998047e+00
-6.251357833544413545e+00 -5.370347499847412109e+00
-6.311933716138203643e+00 -4.932135025660197236e+00
-6.578756610552470185e+00 -5.281463146209716797e+00
-6.498484532038371064e+00 -5.193506081899006865e+00
-6.375876506169636748e+00 -5.174363295237223603e+00
-6.210783799489338897e+00 -4.798604567845662139e+00
-6.102150559425354004e+00 -4.783722718556721709e+00
-6.291154742240905762e+00 -4.960954666137695312e+00
-6.657395839691162109e+00 -5.583643595377604463e+00
-6.697269320487976074e+00 -5.267895857493082978e+00
-6.667914350827534697e+00 -5.091930866241455078e+00
-6.847503105799357392e+00 -5.021231571833292939e+00
-6.651375095049540498e+00 -4.382342735926310517e+00
-6.306082646052042939e+00 -4.991350015004475615e+00
-6.322322289148966767e+00 -5.324974377950032256e+00
-6.386254707972208955e+00 -5.367973645528157256e+00
-6.776808659235636689e+00 -5.381685256958007812e+00
-6.909045298894246123e+00 -5.404336611429850556e+00
-6.796027819315592744e+00 -5.154481728871663115e+00
-6.623400489489237764e+00 -4.659406979878743194e+00
-6.527144392331440947e+00 -4.464499155680338838e+00
-6.511459867159525849e+00 -5.476737499237060547e+00
-6.818359851837158203e+00 -4.899760087331135772e+00
-6.775886734326680205e+00 -4.999377568562825225e+00
-7.186960577964782715e+00 -4.647669156392415069e+00
-6.457397699356079102e+00 -4.486887137095133760e+00
-6.714325110117594697e+00 -4.704616864522297881e+00
-7.009240031242370605e+00 -4.834380944569905303e+00
-6.972719152768452666e+00 -4.686587969462077119e+00
-7.111746788024902344e+00 -5.174507459004719756e+00
-6.912816643714904785e+00 -4.325392087300618194e+00
-6.644251108169555664e+00 -5.304761568705241181e+00
-7.001955429712931611e+00 -5.032869497934977510e+00
-6.217930515607197783e+00 -4.595432599385579131e+00
-6.569650451342265107e+00 -5.028221130371093750e+00
-7.010974367459614776e+00 -4.563094933827717803e+00
-7.082233230272929170e+00 -4.890782515207926728e+00
-6.880992730458577178e+00 -4.314681053161621094e+00
-7.016798734664916992e+00 -4.863954226175944306e+00
-7.285644133885701201e+00 -4.671576499938964844e+00
-6.968183477719624541e+00 -4.703351815541584990e+00
-7.224088549613952637e+00 -4.653643131256103516e+00
-6.836175918579101562e+00 -4.621236324310302734e+00
-6.805902361869812012e+00 -4.596964836120605469e+00
-6.426598389943440459e+00 -5.423621336619059541e+00
-6.135499080022175811e+00 -5.338072299957275391e+00
-6.973790605862935088e+00 -4.928695837656657197e+00
