# Train Val
3.607645740111669053e+00 5.928257405757904053e-01
-1.279677890241146088e+00 -2.554018815358479966e+00
-2.874383171399434556e+00 -3.069701830546061050e+00
-3.175055841604868423e+00 -3.325905005137125503e+00
-3.208672304948171128e+00 -3.311404069264729966e+00
-3.269616484642028809e+00 -3.315139293670654297e+00
-3.315043608347574722e+00 -3.261140425999959458e+00
-3.320809602737426758e+00 -3.358546972274780273e+00
-3.339393417040506851e+00 -3.401905775070190430e+00
-3.546926259994506836e+00 -3.731708367665608872e+00
-3.788109699885050308e+00 -4.032861312230427764e+00
-4.167628169059753418e+00 -4.407575766245524385e+00
-4.897173722585042022e+00 -5.407733599344889619e+00
-5.513979593912760713e+00 -5.425605773925781250e+00
-5.578915834426879883e+00 -5.820500850677490234e+00
-5.693457802136738799e+00 -6.009326140085856416e+00
-5.789307991663615205e+00 -5.534238974253336885e+00
-5.559414267539978027e+00 -5.616668224334716797e+00
-5.626224478085835479e+00 -5.639668146769206025e+00
-5.678846836090087891e+00 -5.771350542704264619e+00
-5.766222993532816865e+00 -5.814340909322102569e+00
-5.845921834309895537e+00 -5.843833287556965850e+00
-5.864986062049865723e+00 -5.899345239003499053e+00
-5.846831281979878447e+00 -5.679444471995036103e+00
-5.817888776461283662e+00 -6.116060098012288115e+00
-5.867087244987487793e+00 -6.218478520711262725e+00
-5.887777884801228545e+00 -6.130139986673991181e+00
-5.896840651830037139e+00 -6.110957940419514678e+00
-6.017554998397827148e+00 -5.737610816955566406e+00
-5.839140534400939941e+00 -6.097724755605061553e+00
-5.951700290044148467e+00 -5.863127708435058594e+00
-5.986980875333149932e+00 -5.851188023885090850e+00
-5.953539093335469268e+00 -5.844912528991699219e+00
-5.964271585146586396e+00 -5.901684761047363281e+00
-6.112330516179402373e+00 -6.243432203928629853e+00
-5.981066346168518066e+00 -5.992588996887207031e+00
-6.100533008575439453e+00 -5.201882203420002959e+00
-5.734619220097859404e+00 -6.016715526580810547e+00
-6.019608298937479951e+00 -6.083042303721110322e+00
-6.333081285158793428e+00 -6.243090470631917022e+00
-6.382257382074992158e+00 -5.372365951538085938e+00
-6.155042012532551787e+00 -5.369955857594807647e+00
-6.132085680961608887e+00 -5.513252735137939453e+00
-6.434785723686218262e+00 -5.806016921997070312e+00
-6.736793994903564453e+00 -5.874652067820231416e+00
-6.567770838737487793e+00 -5.800348599751790069e+00
-6.634539683659871123e+00 -5.993405342102050781e+00
-6.639041264851887725e+00 -5.769715468088786103e+00
-6.452437639236450195e+00 -6.194688955942790010e+00
-6.755344351132710479e+00 -6.189356327056884766e+00
-7.040432095527648926e+00 -5.321783542633056641e+00
