# Train Val
5.281115631262461640e+00 1.872040987014770508e+00
-4.388095910350481854e-01 -2.508067846298217773e+00
-2.721637825171152603e+00 -3.114431540171305191e+00
-3.236189484596252441e+00 -3.553198734919229995e+00
-3.681724210580190171e+00 -3.989361524581909180e+00
-4.447268684705098174e+00 -4.881986300150553681e+00
-5.776048580805460908e+00 -6.428498903910319306e+00
-6.471161564191182158e+00 -6.807120005289713838e+00
-6.792720079421997070e+00 -7.050660451253254912e+00
-6.943595568339030244e+00 -6.997931003570556641e+00
-6.982526024182637236e+00 -7.014171600341796875e+00
-6.996908187866210938e+00 -7.148696740468342803e+00
-6.968296051025390625e+00 -7.003797849019368194e+00
-6.990012645721435547e+00 -6.911344846089680694e+00
-7.013214786847432158e+00 -7.181943098704020478e+00
-7.171730319658915498e+00 -7.323048114776611328e+00
-7.217915058135986328e+00 -7.398398876190185547e+00
-7.233105580012003877e+00 -7.490513324737548828e+00
-7.274821599324543975e+00 -7.401018142700195312e+00
-7.277368108431498506e+00 -7.257675965627034209e+00
-7.347648302714030244e+00 -7.380223592122395537e+00
-7.317380865414937041e+00 -7.790660381317138672e+00
-7.396388928095499971e+00 -7.623176097869873047e+00
-7.353757858276367188e+00 -7.618640263875325225e+00
-7.336880207061767578e+00 -7.334193388621012666e+00
-7.357326467831929229e+00 -7.385926246643066406e+00
-7.404284914334614776e+00 -7.672205924987792969e+00
-7.442469437917073272e+00 -7.355971336364746094e+00
-7.385946551958720185e+00 -7.472996234893798828e+00
-7.472368677457173369e+00 -7.491412162780761719e+00
-7.428771694501240752e+00 -7.722118059794108369e+00
-7.416575590769450166e+00 -7.442765871683756806e+00
-7.459297657012939453e+00 -7.550909042358398438e+00
-7.551343162854512236e+00 -7.496861457824707031e+00
-7.477285345395405791e+00 -7.606430371602376006e+00
-7.580590724945068359e+00 -7.449013868967692353e+00
-7.544757167498270967e+00 -7.633052190144856475e+00
-7.440524975458781221e+00 -7.610573450724284150e+00
-7.443838159243266084e+00 -7.616639455159504912e+00
-7.537912567456563018e+00 -7.865286032358805635e+00
-7.549562493960062959e+00 -7.890453815460205078e+00
-7.440879106521606445e+00 -7.501495043436686494e+00
-7.397371451059977510e+00 -7.415350437164306641e+00
-7.575606266657511689e+00 -7.850187301635742188e+00
-7.541601220766703584e+00 -7.929988543192545869e+00
-7.515687028566996553e+00 -7.383074442545573213e+00
-7.568381309509277344e+00 -7.568601449330647490e+00
-7.660388390223185517e+00 -7.677695592244465850e+00
-7.614074428876240752e+00 -7.808896700541178681e+00
-7.621244986852009795e+00 -7.922050317128499053e+00
-7.706726511319478057e+00 -7.557725747426350615e+00
-7.677600224812825225e+00 -7.513674736022949219e+00
-7.550396839777628877e+00 -7.729372978210449219e+00
-7.740846157073974609e+00 -7.988755385080973603e+00
-7.798863887786865234e+00 -7.557858943939208984e+00
-7.762913147608439424e+00 -7.560823122660319306e+00
-7.536195755004882812e+00 -7.705485661824543975e+00
-7.743813355763752959e+00 -7.836235841115315459e+00
-7.791940291722615264e+00 -7.921708742777506806e+00
-7.957489053408305146e+00 -7.779282569885253906e+00
-8.098362604777017637e+00 -8.364161650339761778e+00
-8.314759929974874453e+00 -8.140109380086263613e+00
-8.376208504041036562e+00 -8.095425446828206972e+00
-8.509857614835103945e+00 -7.010815461476643584e+00
-8.002278010050455137e+00 -7.664611339569091797e+00
-8.200162132581075625e+00 -8.450957298278808594e+00
-8.787681102752685547e+00 -8.843957901000976562e+00
-8.637946565945943789e+00 -8.275259812672933535e+00
-8.735859235127767519e+00 -8.545795440673828125e+00
-8.146679600079854922e+00 -8.401408195495605469e+00
-8.723380088806152344e+00 -7.527338981628417969e+00
-8.638213197390237852e+00 -8.098577022552490234e+00
-8.931788086891174316e+00 -8.951409975687662168e+00
-9.295993089675903320e+00 -9.201020240783691406e+00
-9.624206145604452090e+00 -7.770907402038574219e+00
-9.609295527140298887e+00 -9.027823766072591738e+00
-9.375819961229959532e+00 -8.652362823486328125e+00
-9.753536701202392578e+00 -9.728654861450195312e+00
-9.979038317998250918e+00 -9.881548881530761719e+00
-9.904007514317830996e+00 -9.173711458841959043e+00
-9.574175993601480528e+00 -9.971184412638345762e+00
-1.008226227760314941e+01 -1.009502569834391217e+01
-9.109268506368001894e+00 -8.847756067911783262e+00
-9.741174618403116270e+00 -9.658810297648111387e+00
-1.028889425595601459e+01 -9.835100173950195312e+00
-1.018309005101521869e+01 -9.366440773010253906e+00
-1.046647961934407611e+01 -9.728457450866699219e+00
-1.014516512552897076e+01 -1.029994710286458393e+01
-1.000175678730010986e+01 -9.652196884155273438e+00
-9.734767754872640566e+00 -9.684132575988769531e+00
-1.010417493184407611e+01 -9.771593411763509707e+00
-1.049118542671203613e+01 -1.008933321634928326e+01
-1.049505623181661029e+01 -9.230505307515462832e+00
-9.897857666015625000e+00 -9.040246645609537168e+00
-1.040514294306437115e+01 -9.600463231404622988e+00
-1.058199914296468158e+01 -1.037908236185709576e+01
-1.082045507431030273e+01 -1.015108331044515033e+01
-1.053570636113484760e+01 -1.057476488749186139e+01
-1.090038474400838275e+01 -9.259130795796712832e+00
-1.062103652954101562e+01 -9.802900950113931700e+00
-1.022925778230031391e+01 -9.518181165059408144e+00
-1.088010271390279193e+01 -1.005588626861572266e+01
-1.063237126668294330e+01 -9.766904830932617188e+00
-1.106720590591430664e+01 -1.036201540629068951e+01
-1.083477965990702252e+01 -8.210939089457193418e+00
-1.031950330734252930e+01 -8.967848777770996094e+00
-1.034267314275105853e+01 -9.445854187011718750e+00
-1.032080737749735455e+01 -1.016542689005533795e+01
-1.067244505882263184e+01 -1.041967868804931641e+01
-1.128173907597859760e+01 -1.009049574534098248e+01
-1.081673359870910645e+01 -1.007265027364095111e+01
-1.092656056086222272e+01 -9.673545201619466738e+00
-1.048820654551188092e+01 -1.011858526865641217e+01
