# Train Val
5.029117842515309356e+00 -5.260100464026132988e-02
-1.208110702534516578e+00 -2.797643184661865234e+00
-3.241077979405721177e+00 -3.546192804972330581e+00
-3.783525665601094712e+00 -4.216906865437825225e+00
-4.689632833003997803e+00 -5.506753126780192353e+00
-6.135645548502604463e+00 -7.253596941630045869e+00
-7.707149227460225127e+00 -8.180302937825521425e+00
-9.834448178609212832e+00 -1.342163149515787701e+01
-1.551540358861287494e+01 -1.490047073364257812e+01
-1.551498643557230572e+01 -2.094076728820800781e+01
-1.858028173446655273e+01 -1.745461591084798059e+01
-1.858768192927042762e+01 -2.015943272908528527e+01
-2.213614034652709961e+01 -2.414915275573730469e+01
-2.516377798716227332e+01 -2.642015965779622277e+01
-2.377649482091267785e+01 -2.702701441446940223e+01
-2.557592264811198035e+01 -2.543283144632975379e+01
-2.583657471338907996e+01 -2.524961916605631629e+01
-2.330975135167439660e+01 -1.963183275858561316e+01
-2.470953035354614258e+01 -2.369824218750000000e+01
-2.540619802474975586e+01 -2.803378868103027344e+01
-2.441158310572306434e+01 -2.481545639038085938e+01
-2.545055913925170898e+01 -2.736989784240722656e+01
-2.632775052388508996e+01 -2.658094215393066406e+01
-2.520579608281453332e+01 -1.734852027893066406e+01
-2.502643156051635742e+01 -2.654470698038737098e+01
-2.803010479609171668e+01 -2.963392639160156250e+01
-2.977995729446411133e+01 -2.814308547973632812e+01
-2.780441109339396277e+01 -2.852981185913085938e+01
-2.767802572250366211e+01 -2.974987284342448035e+01
-2.628465270996093750e+01 -2.885855801900227746e+01
-2.785548671086629113e+01 -2.889970525105794152e+01
-2.848803997039794922e+01 -2.773807207743326941e+01
-2.698792664210001746e+01 -2.721612358093261719e+01
-2.667903518676757812e+01 -2.742581113179524621e+01
-2.922371387481689453e+01 -2.762109057108561316e+01
-2.836172453562418738e+01 -2.840636571248372277e+01
-2.832639439900716027e+01 -2.674522082010905066e+01
-2.829696734746297082e+01 -2.755289014180501184e+01
-2.815375471115112305e+01 -2.117733828226725379e+01
-2.523104810714721680e+01 -2.851889610290527344e+01
-2.783111763000488281e+01 -3.002246475219726562e+01
-3.061627658208211145e+01 -3.174025281270344934e+01
-2.974161275227864465e+01 -3.027721659342448035e+01
-3.046543820699055871e+01 -3.014594332377116004e+01
-2.979279851913452148e+01 -2.862646929423014441e+01
-2.958623568216959754e+01 -3.046930376688639441e+01
-3.135757795969645301e+01 -2.623102951049804688e+01
-2.968648386001586914e+01 -3.001281865437825402e+01
-3.015079816182454309e+01 -3.109691747029622277e+01
-3.003217347462971887e+01 -2.945783933003743371e+01
-2.937935638427734375e+01 -2.760055732727050781e+01
-2.949899593989054480e+01 -2.751915486653645715e+01
-3.077180258433024207e+01 -3.030277061462402344e+01
-3.169733222325642785e+01 -3.160256576538085938e+01
-3.128838189442952356e+01 -2.922105407714843750e+01
-2.903169616063435754e+01 -2.441072273254394531e+01
-2.693564271926879883e+01 -2.191513315836588660e+01
-2.679136101404825965e+01 -2.707710266113281250e+01
-3.020848035812377930e+01 -3.010364087422688684e+01
-3.121705007553100586e+01 -3.077133814493815223e+01
-2.978155056635538855e+01 -2.653477478027343750e+01
-2.872286494572957238e+01 -3.052851168314616004e+01
-2.937598657608032227e+01 -2.873004023234049598e+01
-2.937958447138468543e+01 -2.897269948323567590e+01
-3.004103724161783973e+01 -2.968215243021647254e+01
-3.048910729090372840e+01 -2.987086741129557410e+01
-3.035533968607584754e+01 -3.173438898722330848e+01
-3.095934804280598840e+01 -2.925547281901041785e+01
-3.103532934188842773e+01 -3.079004160563151160e+01
-2.968681017557780066e+01 -2.952142651875813684e+01
-3.086191638310750207e+01 -2.820585823059082031e+01
-2.882837915420532227e+01 -3.009383773803710938e+01
-3.197592814763386926e+01 -3.107382965087890625e+01
-3.207508055369059008e+01 -3.132072003682454309e+01
-3.102423350016276160e+01 -2.862230809529622277e+01
-3.050457477569580078e+01 -2.598144976298014441e+01
-2.877657334009806434e+01 -2.368720944722493371e+01
-2.490074284871419152e+01 -2.582930692036946496e+01
-2.974676815668741980e+01 -3.126666514078776160e+01
-3.009821446736653527e+01 -2.708858617146809777e+01
-2.876021226247151574e+01 -2.814381217956542969e+01
-3.074796930948893348e+01 -2.940968704223632812e+01
-3.102720435460408410e+01 -2.870270665486653527e+01
-3.193865617116292199e+01 -3.011583455403645715e+01
