# Train Val
-5.941053231893959286e+00 -8.174208998680114746e+00
-8.274670556440192115e+00 -8.241597791512807802e+00
-8.273688781059394870e+00 -8.259023725986480713e+00
-8.363320152638321403e+00 -8.380095660686492920e+00
-8.383429664676471660e+00 -8.353367050488790468e+00
-8.409703622430058090e+00 -8.381731907526651426e+00
-8.437590760699773540e+00 -8.456842939058939024e+00
-8.479964822025621629e+00 -8.449264566103616758e+00
-8.551906484668537090e+00 -8.611073950926462217e+00
-8.652822575326693411e+00 -8.809790134429931641e+00
-8.918165938328888487e+00 -9.112254937489828066e+00
-9.456734624959654667e+00 -9.460096319516500429e+00
-9.763582924665030305e+00 -1.041388134161631207e+01
-1.049816050771939580e+01 -1.126858540376027484e+01
-1.140548410254009681e+01 -7.581804573535919189e+00
-1.272525808366678568e+01 -1.382683062553405762e+01
-1.263792500253451045e+01 -1.474912631511688232e+01
-1.365377027301465063e+01 -1.319163974126180072e+01
-1.480936708288677650e+01 -1.625072185198466101e+01
-1.516742909156669938e+01 -1.717716622352600098e+01
-1.524399168208494082e+01 -1.459071242809295654e+01
-1.609797760591668592e+01 -1.372489233811696430e+01
-1.675693452156196273e+01 -1.203209356466929059e+01
-1.595769575490789904e+01 -1.653813616434733191e+01
-1.676592930292678929e+01 -1.460009860992431641e+01
-1.632361601166806153e+01 -1.720515429973602295e+01
-1.720175773814573006e+01 -1.764829925696055213e+01
-1.710390028711092825e+01 -1.509572978814443012e+01
-1.694762978311312551e+01 -1.802921628952026367e+01
-1.756476976911900323e+01 -1.796164731184641639e+01
-1.715621405132746347e+01 -1.878886850674946984e+01
-1.836229675099001213e+01 -1.693092362085978309e+01
-1.737901005502474661e+01 -1.820956738789876184e+01
-1.722091740268771787e+01 -1.782329388459523400e+01
-1.863633702973188022e+01 -1.475192781289418598e+01
-1.853607199555736429e+01 -1.793468244870503625e+01
-1.854669584662227422e+01 -1.772298510869343957e+01
-1.878831436674473565e+01 -1.749979281425476074e+01
-1.900487591856617087e+01 -1.730535113811492920e+01
-1.929923953848370033e+01 -1.914150325457255164e+01
-1.892444572610370201e+01 -1.792354881763458252e+01
-1.903866225582058291e+01 -1.884732651710510254e+01
-2.009244071831137290e+01 -1.957500545183817664e+01
-1.930659442028756700e+01 -1.922269554932912072e+01
-1.877752911842475569e+01 -2.007811395327250281e+01
-1.986278044975410140e+01 -2.014869340260823449e+01
-1.988392450849888604e+01 -1.924868766466776648e+01
-1.945795576451188325e+01 -1.787720811367034912e+01
-1.965892185599117070e+01 -1.801521245638529578e+01
-2.040306493791483078e+01 -1.962771026293436805e+01
-2.023227395041514143e+01 -1.967130831877390662e+01
-1.993784189224243164e+01 -1.714660545190175256e+01
-1.985698100267830668e+01 -1.693672895431518555e+01
-1.888647484375258756e+01 -1.644291138648986816e+01
-2.015385837878211106e+01 -2.027848720550537109e+01
-1.980807019896426269e+01 -1.824501089255015174e+01
-1.973058760368217790e+01 -1.907414583365122596e+01
-2.038392343359478431e+01 -1.973871858914693078e+01
-2.028383935508081493e+01 -1.796927209695180139e+01
-2.057777405593354914e+01 -1.442087503274281879e+01
-2.083857509645364914e+01 -1.861834510167439660e+01
-2.100299040745880674e+01 -1.382902713616689105e+01
-1.989892224134024801e+01 -1.932169191042582312e+01
-2.016152539495694285e+01 -1.832952340443928918e+01
-1.915862356202077166e+01 -1.886734151840209961e+01
-2.023169943437737928e+01 -1.787538107236226281e+01
-2.073763309899023000e+01 -1.587392115592956543e+01
-2.099281956785816305e+01 -1.809754625956217566e+01
-2.001752414541729408e+01 -1.797152797381083289e+01
-1.947038993188890288e+01 -1.587784473101297955e+01
-2.064200548398292767e+01 -1.867460576693217078e+01
-2.129267686908528034e+01 -2.083276255925496301e+01
-2.076852535797377897e+01 -1.906216700871785363e+01
-2.065992225226709422e+01 -1.901589202880859375e+01
-1.988496281736988180e+01 -2.078604340553283691e+01
-2.162612315355721293e+01 -1.884950367609659949e+01
-2.057529553720506499e+01 -1.881087843577067176e+01
-2.060148665056390271e+01 -2.000602277119954309e+01
-2.144498748294377677e+01 -2.013742677370707312e+01
-2.156668464208053493e+01 -1.850307448705037316e+01
-2.158658556210792767e+01 -1.812910079956054688e+01
-2.085159240334720820e+01 -1.951100206375122070e+01
-2.125958588163731378e+01 -1.758215868473052979e+01
-2.199037430650096780e+01 -1.621666622161865234e+01
-2.080225634978989291e+01 -1.935803802808125695e+01
-2.143577874717065868e+01 -1.953548510869343957e+01
-2.118610208317385002e+01 -1.562919076283772846e+01
-2.091278014748783320e+01 -1.859145490328470984e+01
-2.112608899100352033e+01 -2.028117672602335730e+01
-2.069034608743958614e+01 -2.161819855372111121e+01
-2.160928390793881348e+01 -2.083813973267873010e+01
-2.200648931729591595e+01 -1.616816906134287635e+01
-2.163821393352444034e+01 -1.770425009727478027e+01
-2.175344683760303610e+01 -2.014768354098002234e+01
-2.188213878566935833e+01 -2.080914258956909180e+01
-2.165487417124085567e+01 -2.150786058108012000e+01
-2.133541535522978094e+01 -2.074997353553771973e+01
-2.217980344416731597e+01 -1.581564048926035504e+01
-2.114494648626295259e+01 -1.956049617131550988e+01
-2.143055185221009395e+01 -2.166242074966430664e+01
-2.137676814451056018e+01 -1.980737551053364953e+01
-2.142355607727826694e+01 -1.714710116386413574e+01
-2.156339024689237860e+01 -2.151359605789184570e+01
-2.226780105849443814e+01 -1.727695751190185547e+01
-2.187607428178948865e+01 -1.897227772076924524e+01
-2.196080438969498871e+01 -1.765329110622406006e+01
-2.137223122483592874e+01 -1.890420142809550086e+01
-2.191083051390566894e+01 -1.764913376172383508e+01
-2.146057053743782816e+01 -2.044558405876159668e+01
-2.141437737416412901e+01 -1.961984014511108398e+01
-2.081044763629719441e+01 -2.177748735745747766e+01
-2.205318276356842588e+01 -2.134401623407999793e+01
-2.182746264894129951e+01 -1.941039284070332727e+01
-2.227439570022841764e+01 -1.579720143477121930e+01
-2.249977233046192282e+01 -2.029179962476094445e+01
-2.215479146828085533e+01 -1.955744997660319129e+01
-2.261056116071798172e+01 -1.998434241612752160e+01
-2.262505447258383384e+01 -2.055798268318176270e+01
-2.199887110823291891e+01 -1.892582631111145020e+01
-2.158781113058833867e+01 -1.924890255928039551e+01
-2.194510857533600401e+01 -2.005852858225504676e+01
-2.232150034177101361e+01 -1.967879660924275598e+01
-2.169655060364028287e+01 -2.075997201601664344e+01
-2.225987120806160746e+01 -1.748560512065887451e+01
-2.178882626355704488e+01 -1.896773127714793006e+01
-2.201868721590203748e+01 -1.624598435560862342e+01
-2.155212822607008150e+01 -2.031654262542724609e+01
-2.153702533851235756e+01 -1.886493746439616004e+01
-2.250289040904934268e+01 -2.032767709096272668e+01
-2.196151432748568411e+01 -2.111163051923115930e+01
-2.214557732565928205e+01 -1.980347410837809363e+01
-2.263840647875252543e+01 -2.119197352727254113e+01
-2.253049438282594963e+01 -2.033786336580912391e+01
-2.135194595789505101e+01 -1.763155202070872107e+01
-2.243620308374954320e+01 -1.609064193566640100e+01
-2.180269880618079270e+01 -1.941445970535278320e+01
-2.253659618506997475e+01 -2.033121526241302490e+01
-2.294307493759414029e+01 -2.137354334195454797e+01
-2.323819481316259328e+01 -1.848071312904357910e+01
-2.178202827906204320e+01 -1.962354723612467566e+01
-2.282951177176782664e+01 -1.913655972480773926e+01
-2.249998813564494426e+01 -2.039598512649536133e+01
-2.194270561509213380e+01 -1.950320390860239783e+01
-2.290641146191095956e+01 -2.139611005783081055e+01
-2.304341361482264716e+01 -2.010235993067423621e+01
-2.274850074315475368e+01 -1.986688232421875000e+01
-2.370985132960949926e+01 -2.114890813827514648e+01
-2.293652416487871548e+01 -2.044043008486429969e+01
-2.271713106511002778e+01 -2.176364549001057824e+01
-2.241549944473525358e+01 -1.925222794214884559e+01
-2.274639118323892006e+01 -2.160859227180480957e+01
-2.279409651028908002e+01 -2.021971233685811242e+01
-2.283545865850933509e+01 -1.914897990226745605e+01
-2.263375377655029297e+01 -2.085216951370239258e+01
-2.252878191511509698e+01 -2.095074470837910852e+01
-2.282082392805713766e+01 -2.155370728174845496e+01
-2.312016984971903000e+01 -1.709741791089375695e+01
-2.287135487087702401e+01 -2.160597483317057410e+01
-2.172618424690375960e+01 -2.036721841494242469e+01
-2.233951063479407395e+01 -2.127940320968627930e+01
-2.230927006673004698e+01 -1.982651456197102746e+01
-2.284233604043216914e+01 -2.049834338823954383e+01
-2.276517448586932701e+01 -1.985486785570780555e+01
-2.318584592463606597e+01 -2.066752187410990516e+01
-2.350793812638622171e+01 -2.133248964945475379e+01
-2.347250631300069657e+01 -1.989400688807169715e+01
-2.324157785965224576e+01 -2.226699328422546387e+01
-2.386412749856205195e+01 -2.086561942100524902e+01
-2.353623451620845586e+01 -1.905029265085856238e+01
-2.345406466015314706e+01 -2.081412291526794434e+01
-2.269373326382394396e+01 -2.187277722358703613e+01
-2.289786161810664922e+01 -1.737758231163024902e+01
-2.222917241565251700e+01 -2.129900137583414832e+01
-2.354379964278916049e+01 -1.964841190973917762e+01
-2.247769215955572619e+01 -1.989983439445495605e+01
-2.388537141832254562e+01 -2.173179376125335693e+01
-2.386183520494881449e+01 -2.111587254206339637e+01
-2.363038198826676606e+01 -2.217392357190449914e+01
-2.333335714825129159e+01 -1.731877497831980506e+01
-2.278089526548223986e+01 -2.061082228024800500e+01
-2.346773291442353937e+01 -2.114284181594848633e+01
-2.356252355090642325e+01 -2.178575436274210730e+01
-2.189154392177775676e+01 -1.664970580736796180e+01
-2.358229005134711898e+01 -1.914408795038859168e+01
-2.333513825626696558e+01 -2.098609733581542969e+01
-2.331580042434951139e+01 -2.159542282422383508e+01
-2.346179451376704961e+01 -2.198281876246134559e+01
-2.380516026383739359e+01 -2.050749818483988562e+01
-2.327241351240772360e+01 -2.119228402773539344e+01
-2.400766500376038692e+01 -2.178348604838053504e+01
-2.415380174022610049e+01 -2.158728623390197754e+01
-2.348554937718278168e+01 -2.060658470789591590e+01
-2.410734178252139159e+01 -2.076056019465128699e+01
-2.319449012562380119e+01 -2.196734356880187988e+01
-2.409108701802916386e+01 -2.140909274419148645e+01
-2.402379842531883014e+01 -2.203627888361613074e+01
-2.383711913480597033e+01 -2.096084372202555457e+01
-2.446365445347155543e+01 -2.113082452615102014e+01
-2.407011434587381515e+01 -2.084052856763203820e+01
-2.370268076557223935e+01 -1.977400096257527551e+01
-2.212972545623779297e+01 -1.739896694819132605e+01
-2.356004929946640658e+01 -1.869941751162211219e+01
-2.435170808889098026e+01 -2.029870549837748328e+01
