# Train Val
-6.247528965190305428e+00 -9.796856681505838438e+00
-9.999013189542091951e+00 -1.010598381360371967e+01
-1.013614340151770676e+01 -1.021064376831054688e+01
-1.020844263141438191e+01 -1.014114105701446533e+01
-1.019739332037456947e+01 -1.018044698238372803e+01
-1.027335716506182095e+01 -1.025482074419657330e+01
-1.027744250378366253e+01 -1.025117202599843402e+01
-1.028796538660081694e+01 -1.016709411144256592e+01
-1.027974220857781873e+01 -1.030565532048543353e+01
-1.031991896386873897e+01 -1.032983163992563824e+01
-1.035195504204701500e+01 -1.035276297728220563e+01
-1.044667774135783489e+01 -1.046424265702565570e+01
-1.056800072071916041e+01 -1.055549311637878418e+01
-1.085002561342918348e+01 -1.072393727302551270e+01
-1.140499481104188106e+01 -1.227113497257232666e+01
-1.269597818083682306e+01 -1.205404591560363770e+01
-1.350241648140600148e+01 -1.297415403525034527e+01
-1.436148349309371675e+01 -1.494287820657094379e+01
-1.525629894612199244e+01 -1.651676762104034424e+01
-1.557009865065752408e+01 -1.538550873597463031e+01
-1.583076940148563772e+01 -1.576430141925811768e+01
-1.675868549993482759e+01 -1.508317903677622418e+01
-1.622137859312154617e+01 -1.439256993929545025e+01
-1.693836967015670680e+01 -1.631012487411499023e+01
-1.696599253153396702e+01 -1.486130193869272809e+01
-1.708460773047754344e+01 -1.736359123388926307e+01
-1.764653290732432112e+01 -1.832530768712361535e+01
-1.768199282177424081e+01 -1.472558259963989258e+01
-1.788928960541547397e+01 -1.682318035761515418e+01
-1.786726637209876145e+01 -1.663565452893574914e+01
-1.793794115519119359e+01 -1.929814259211222449e+01
-1.848807119110883335e+01 -1.186645456155141254e+01
-1.826804600731801287e+01 -1.788737690448760986e+01
-1.813460055044141939e+01 -1.541341793537139893e+01
-1.882944420636710348e+01 -1.902596370379130164e+01
-1.899475593081975333e+01 -1.924575682481129846e+01
-1.857257987685122558e+01 -1.756307371457417688e+01
-1.887334605394783793e+01 -1.231556173165639301e+01
-1.800320201809123333e+01 -1.743397601445515832e+01
-1.859011244369765592e+01 -1.698635149002075195e+01
-1.909634034916506096e+01 -1.743124159177144250e+01
-1.902394793397289163e+01 -1.815225672721862793e+01
-1.869552864462642461e+01 -1.411919577916463275e+01
-1.780457599284285308e+01 -1.756041944026947021e+01
-1.954048295748435748e+01 -1.858624347050984582e+01
-1.923370761386418692e+01 -1.924810322125752649e+01
-1.891343181416139885e+01 -1.835884086290995398e+01
-1.957704802690926371e+01 -1.774233814080556115e+01
-1.926406608193607539e+01 -1.941734933853149414e+01
-1.838603198326240218e+01 -1.667789804935455322e+01
-1.959141707824448275e+01 -1.958906404177347937e+01
-1.970277519549353684e+01 -1.863835028807322303e+01
-1.965316807213476125e+01 -1.718977801005045691e+01
-1.903842607595152714e+01 -1.691740413506825647e+01
-1.913063969046382695e+01 -1.968149344126383582e+01
-1.924267587015184233e+01 -1.645334613323211670e+01
-1.920835975873268353e+01 -1.876190988222758094e+01
-2.003409273341550545e+01 -1.885238079229990760e+01
-1.908687484870522866e+01 -1.519780981540679932e+01
-1.950263853396399583e+01 -1.973422733942667762e+01
-1.991647513438079287e+01 -1.834775698184967041e+01
-1.920221888008764211e+01 -1.962344845136006555e+01
-2.000886165489584556e+01 -1.972093963623046875e+01
-1.982209322008035812e+01 -1.874159765243530273e+01
-1.995647033594422481e+01 -1.911005397637685022e+01
-1.987689450635748400e+01 -1.955908640225728234e+01
-2.040811923398809924e+01 -1.583624406655629535e+01
-1.981321776923486766e+01 -1.965868242581685266e+01
-2.035909057875811001e+01 -1.883293620745341101e+01
-2.019519924713393522e+01 -1.702413968245188514e+01
-1.966746737593311423e+01 -1.896850498517354211e+01
-2.019864630295058561e+01 -1.703925279776255408e+01
-2.017026417942370387e+01 -1.988824963569641113e+01
-2.020708283731492827e+01 -1.899772401650746545e+01
-2.030232689744335062e+01 -1.825782354672749719e+01
-1.977307128098051336e+01 -1.827394827206929406e+01
-2.062398898399482405e+01 -2.020834743976593018e+01
-2.021423419047210146e+01 -2.053102405865987024e+01
-2.088128888404975569e+01 -1.662081825733184814e+01
-1.982471269672199909e+01 -1.820100247859954834e+01
