# Min Max
2.756877315428199290e+04 8.614194236704252660e+07
3.312391403838902625e+04 1.777543593999774382e+07
2.309671436676178200e+04 9.260778580413034186e+06
2.335591275065583613e+04 5.766510940533329733e+06
1.993605851211754998e+04 3.391811037350846920e+06
1.754604868470591828e+04 2.201899093056036625e+06
1.417508545753835824e+04 1.260306397409721510e+06
1.095160523658836973e+04 8.922685116719502257e+05
1.184030706698900576e+04 6.628800160698815016e+05
8.823094536707481893e+03 5.469059616065319860e+05
9.530175675019430855e+03 5.576366867386468221e+05
9.309657340896044843e+03 5.811486577398547670e+05
8.315315355854210793e+03 5.665795223409206374e+05
7.742272173731535077e+03 4.770344139063573093e+05
7.492485529479903562e+03 4.199474407223092858e+05
7.215621138270119445e+03 4.125939893787467154e+05
6.561100671277892616e+03 3.848812491664210102e+05
6.250907436915442304e+03 3.576409827107720193e+05
5.780734191664561877e+03 3.190776625743855257e+05
5.948567127033812540e+03 2.874023616735053365e+05
5.494533102585851339e+03 2.588901818382478086e+05
5.324416762431713323e+03 2.430330601839363226e+05
5.102415613233458316e+03 2.445131733728025283e+05
4.880056519851846133e+03 2.342290426019363804e+05
4.860134418490855751e+03 2.187640960822861816e+05
4.681277809239034468e+03 2.102235190925580100e+05
4.777797474826711550e+03 1.995755934327345167e+05
4.398912752017403363e+03 1.925988139724274224e+05
4.362430850669588835e+03 1.876838073981273046e+05
4.306367354181110386e+03 1.779839358527700824e+05
4.160661210869513525e+03 1.766708877237625420e+05
4.023668657956935022e+03 1.691343513257161831e+05
3.834389991238000675e+03 1.610149622259196767e+05
3.883811878344090474e+03 1.591757097135134100e+05
3.708403113153417053e+03 1.519491032087054919e+05
3.669049960057369390e+03 1.490243770916436915e+05
3.619812058895086011e+03 1.481931455227331026e+05
3.552152666487286297e+03 1.453142935793269717e+05
3.575359510801833039e+03 1.438462901450549834e+05
3.447819244503508799e+03 1.432045836847556347e+05
3.424617540978703801e+03 1.381506691770408943e+05
3.366868930778452068e+03 1.377002590478895581e+05
3.333843256827700316e+03 1.331400714682214602e+05
3.274236048629494690e+03 1.312219262735884986e+05
3.216024003845363950e+03 1.297121955373888341e+05
3.177140993956533293e+03 1.271192368730628805e+05
3.093927208023525509e+03 1.260175962259847875e+05
3.129750903792385998e+03 1.249594192007759120e+05
3.078294836126081918e+03 1.239213860934857803e+05
3.043748640344469550e+03 1.189845042457235540e+05
3.059578527620661134e+03 1.171846422820970620e+05
2.994825461983522018e+03 1.180318586025851837e+05
2.963206102797546464e+03 1.147725231096040079e+05
2.914295913311722870e+03 1.131843165933271230e+05
2.892571598249809540e+03 1.116101231942152808e+05
2.865343539997494190e+03 1.111674734930039995e+05
2.809011668121430375e+03 1.101861996241513698e+05
2.870739551632628718e+03 1.085459004589737306e+05
2.793489491857460962e+03 1.074659773287080025e+05
2.770435964639506892e+03 1.052353621086608618e+05
2.782742876418711603e+03 1.051076217182951223e+05
2.734924692257292463e+03 1.032354006744459039e+05
2.741417467760064028e+03 1.021704060224177811e+05
2.678393109259620360e+03 9.990765150978567544e+04
2.680518096409667123e+03 1.004576664457490842e+05
2.669295929464445180e+03 9.751240358005896269e+04
2.677226665200220850e+03 9.662213094887811167e+04
2.630308100574598029e+03 9.680845111169329903e+04
2.619696739304588391e+03 9.636702923482804908e+04
2.595283877246889915e+03 9.492276528998592403e+04
2.590653027139972437e+03 9.334114054526844120e+04
2.555090561509183317e+03 9.342302716167671315e+04
2.517906835419914842e+03 9.204048496760890703e+04
2.565247754217960846e+03 9.095085110528692894e+04
2.525699761667242001e+03 9.101917626442851906e+04
2.513602679682508551e+03 8.982972803739880328e+04
2.507520237273999555e+03 8.876333102877516649e+04
2.501777925943616992e+03 8.798638867638104421e+04
2.479281051131270488e+03 8.761330940009107871e+04
1.000999999999999945e-01 4.999000000000000110e-01
3.000999999999999848e-02 6.998999999999999666e-02
5.000999999999999890e-01 8.999000000000000332e-01
8.001000000000000334e-01 1.199899999999999967e+00
6.000999999999999668e-01 9.999000000000000110e-01
