# Train Val
-5.706160523123660511e+00 -9.773386081059774355e+00
-9.986576540995452334e+00 -1.001185870170593262e+01
-1.014374248860246119e+01 -1.016000763575235943e+01
-1.020594002836841696e+01 -1.014733048280080219e+01
-1.021362038790169358e+01 -1.022495464483896832e+01
-1.027880824622461375e+01 -1.025984430313110352e+01
-1.024281207585738862e+01 -1.027850508689880371e+01
-1.033071461370435884e+01 -1.034807519117991070e+01
-1.034199017993474357e+01 -1.032368330160776715e+01
-1.049540181887351942e+01 -1.059708893299102783e+01
-1.053078076799037177e+01 -1.055265128612518311e+01
-1.091345702187489586e+01 -1.114949405193328857e+01
-1.114084656763884951e+01 -1.135334944725036621e+01
-1.163392950316606900e+01 -1.176138846079508404e+01
-1.204372962046477724e+01 -1.224834350744883160e+01
-1.239955402632891079e+01 -1.274472637971242328e+01
-1.277137780593613492e+01 -1.146697175502777100e+01
-1.267821647353091485e+01 -1.226565364996592145e+01
-1.285441078573970408e+01 -1.286347723007202148e+01
-1.311767109369827544e+01 -1.152274990081787109e+01
-1.315886609028961729e+01 -1.278705116113026996e+01
-1.335658741805512939e+01 -1.343528695901235004e+01
-1.357742929458618164e+01 -1.312416048844655414e+01
-1.343498279280581720e+01 -1.160332620143890381e+01
-1.375926691798840551e+01 -1.245367324352264404e+01
-1.361704523280515566e+01 -1.155601429939270020e+01
-1.370429249941292404e+01 -1.381255352497100830e+01
-1.391809336613800596e+01 -1.294624920686086078e+01
-1.384578848693330322e+01 -1.417721001307169537e+01
-1.399789669554112237e+01 -1.386620712280273438e+01
-1.422738777580907765e+01 -1.398195223013559918e+01
-1.449175762726088657e+01 -1.379565636316935162e+01
-1.458277425119432280e+01 -1.327102192242940326e+01
-1.425974811941890330e+01 -1.433858863512674908e+01
-1.454832886841337647e+01 -1.255984493096669574e+01
-1.472873535802808931e+01 -1.421365753809610943e+01
-1.448592666044073596e+01 -1.368526999155680279e+01
-1.487318330700114544e+01 -1.397958521048227887e+01
-1.481240755016520794e+01 -1.409588249524434467e+01
-1.478286660727808055e+01 -1.369457678000132184e+01
-1.480401574150990562e+01 -1.450747549533843994e+01
-1.486365252834255379e+01 -1.299389851093292236e+01
-1.468393605442370387e+01 -1.332415203253428082e+01
-1.461118683572542842e+01 -1.451085281372070312e+01
-1.502120210356631524e+01 -1.348355464140574078e+01
-1.480559289253364241e+01 -1.453761025269826312e+01
-1.528763960983793702e+01 -1.222616541385650635e+01
-1.502248604822966982e+01 -1.432575865586598773e+01
-1.531194970567347724e+01 -1.402815600236256977e+01
-1.506477035910396189e+01 -1.465740156173706055e+01
-1.531866784823142957e+01 -1.342210845152536969e+01
-1.539508769471766669e+01 -1.495475105444590191e+01
-1.564945755974721031e+01 -1.539326771100362201e+01
-1.493574534432362633e+01 -1.448075250784556012e+01
-1.501843488014350569e+01 -1.452691328525543213e+01
-1.541940415107597673e+01 -1.540229423840840717e+01
-1.543394766823720055e+01 -1.545766802628835102e+01
-1.570316060114715029e+01 -1.500982093811035156e+01
-1.546363344839063814e+01 -1.548963097731272320e+01
-1.556581401824951172e+01 -1.523771027723948102e+01
-1.555428076598603759e+01 -1.324266390005747418e+01
-1.576812866178609518e+01 -1.467766066392262836e+01
-1.582070741815082116e+01 -1.546942818164825439e+01
-1.543278479172011508e+01 -1.565081806977589984e+01
-1.584818212056564057e+01 -1.409230931599934955e+01
-1.586740807355460525e+01 -1.332261069615682025e+01
-1.602238042475813629e+01 -1.555555442969004254e+01
-1.591988503730903304e+01 -1.447930669784545898e+01
-1.605402872926097757e+01 -1.530189931392669678e+01
-1.597404575347900391e+01 -1.432046437263488770e+01
-1.565045695385690472e+01 -1.421107594172159772e+01
-1.602327305583630590e+01 -1.558964423338572125e+01
-1.602274177034022529e+01 -1.521737062931060791e+01
-1.594505280155246574e+01 -1.503308920065561871e+01
-1.577699862496327476e+01 -1.437796219189961811e+01
-1.567561678159034777e+01 -1.553635791937510113e+01
-1.577207757658877618e+01 -1.604637988408406457e+01
-1.590968143333823015e+01 -1.429585889975229840e+01
-1.623625052177299821e+01 -1.312108453114827533e+01
-1.642010316202195952e+01 -1.551147607962290387e+01
-1.611974617586297498e+01 -1.480430591106414795e+01
-1.611289164171380506e+01 -1.439581783612569232e+01
-1.580977019617112944e+01 -1.531584894657135010e+01
-1.636896432456323680e+01 -1.458111119270324707e+01
-1.605499529434462858e+01 -1.616634643077850342e+01
-1.640094545332052078e+01 -1.445520035425821881e+01
-1.613700069815425664e+01 -1.490074459711710553e+01
-1.617035537655070598e+01 -1.510405548413594623e+01
-1.633184432175199774e+01 -1.471694755554199219e+01
-1.639519174220198394e+01 -1.193714710076650043e+01
-1.614175886218830769e+01 -1.468504059314727783e+01
-1.596027369418386677e+01 -1.619163827101389685e+01
-1.658274081601934924e+01 -1.593403903643290143e+01
-1.579639829215356883e+01 -1.535960904757181744e+01
-1.636957097457626986e+01 -1.613601831595103064e+01
-1.643384745969610705e+01 -1.467122209072113037e+01
-1.617194208856356497e+01 -1.574510733286539654e+01
-1.643882208355402597e+01 -1.391508165995279889e+01
-1.647338362063391770e+01 -1.618226754665374756e+01
-1.659702216164540545e+01 -1.509339491526285748e+01
-1.658495756731194959e+01 -1.463868188858032227e+01
-1.649230450290744443e+01 -1.542473141352335553e+01
-1.658562081547106715e+01 -1.303348747889200787e+01
-1.623432492401640204e+01 -1.258757229646047016e+01
-1.636770523200600991e+01 -1.548694777488708496e+01
-1.670835075540057701e+01 -1.569472376505533795e+01
-1.635826063964326593e+01 -1.602787534395853797e+01
-1.651114079103631482e+01 -1.291170374552408795e+01
-1.602553051609103818e+01 -1.505111368497212787e+01
-1.670315228478383318e+01 -1.629681547482808313e+01
-1.685575810125318696e+01 -1.555560382207234760e+01
-1.726106194318350973e+01 -1.616911677519480506e+01
-1.676464098590915341e+01 -1.563574512799580951e+01
-1.703594008138624361e+01 -1.635874386628468713e+01
-1.677963310985241918e+01 -1.506719617048899273e+01
-1.699559937493275896e+01 -1.548762377103169818e+01
-1.668059962482775660e+01 -1.607449162006378174e+01
-1.718447018477876398e+01 -1.505932776133219342e+01
-1.661459260067697130e+01 -1.465415390332539936e+01
-1.680232081979007930e+01 -1.523521578311920166e+01
-1.695009276018304334e+01 -1.328508706887563129e+01
-1.633359045093342488e+01 -1.585426604747772217e+01
-1.724384358777838244e+01 -1.425951600074768066e+01
-1.673808349189111766e+01 -1.582208697001139264e+01
-1.687722313606132829e+01 -1.661181394259135047e+01
-1.672981351108874293e+01 -1.480025657018025775e+01
-1.719882645041255742e+01 -1.547425842285156250e+01
-1.710819258932339793e+01 -1.576548973719278912e+01
