# Train Val
9.329144159952799942e-02 -1.480443000793457031e+00
-4.098051846027374268e+00 -6.309379386901855291e+00
-1.206413737932840924e+01 -1.720505332946777344e+01
-1.982178942362467566e+01 -2.208395729064941548e+01
-2.464790479342142859e+01 -2.461177177429199148e+01
-2.565755542119343957e+01 -2.540668411254882741e+01
-2.657498065630595008e+01 -2.458358993530273295e+01
-2.631517442067464074e+01 -2.666918411254882670e+01
-2.707891416549682617e+01 -2.693540534973144673e+01
-2.721727768580118934e+01 -2.513170738220214773e+01
-2.660198100407918176e+01 -2.741289634704589773e+01
-2.700756303469340125e+01 -2.762559814453124929e+01
-2.775130089124043664e+01 -2.662692489624023295e+01
-2.753622372945149621e+01 -2.612108192443847798e+01
-2.751588193575541297e+01 -2.773068084716796733e+01
-2.798585104942321777e+01 -2.718310508728027486e+01
-2.800381660461425781e+01 -2.774506988525390483e+01
-2.793160732587178430e+01 -2.735133209228515483e+01
-2.814584946632385254e+01 -2.781639747619628977e+01
-2.795439585049946984e+01 -2.805206604003906179e+01
-2.801163132985432824e+01 -2.765272903442382812e+01
-2.802306032180786133e+01 -2.729185142517089702e+01
-2.764976088205973426e+01 -2.709541320800781250e+01
-2.782763028144836426e+01 -2.716253929138183665e+01
-2.813360714912414551e+01 -2.706529846191406108e+01
-2.804374885559082031e+01 -2.814477386474609233e+01
-2.838082186381022254e+01 -2.784231071472168040e+01
-2.833389671643574914e+01 -2.772655525207519389e+01
-2.810102534294128418e+01 -2.808976860046386648e+01
-2.817006945610046387e+01 -2.777969703674316548e+01
-2.820216894149780273e+01 -2.796438751220703267e+01
-2.832218098640441895e+01 -2.778290672302246023e+01
-2.786963494618733606e+01 -2.723546028137207031e+01
-2.811497839291890344e+01 -2.723257598876953267e+01
-2.841332515080769738e+01 -2.805782699584960938e+01
-2.824920845031738281e+01 -2.686702957153320170e+01
-2.836683996518452844e+01 -2.805297698974609233e+01
-2.806085840861002723e+01 -2.784094009399414205e+01
-2.790794912974039832e+01 -2.781931953430175852e+01
