# Train Val
-1.313017144735823294e+01 -2.522081119135806304e+01
-2.389026840696943665e+01 -2.592192664899324228e+01
-2.456900543354927180e+01 -2.743100246630216787e+01
-2.503719659561806665e+01 -2.699433803558349609e+01
-2.671459826002729798e+01 -2.744255728470651690e+01
-2.583886072990742022e+01 -2.812339727502120112e+01
-2.687746998604307791e+01 -2.206849921377081714e+01
-2.711698884152351496e+01 -2.541406992862098946e+01
-2.738841828894107877e+01 -2.872336477982370440e+01
-2.793149865941798282e+01 -2.859088430906597011e+01
-2.727867285748745374e+01 -2.640922586541426753e+01
-2.822034660298773545e+01 -2.643743193776984057e+01
-2.686484889781221597e+01 -2.755526321812680024e+01
-2.757752984635373394e+01 -2.801828695598401353e+01
-2.860464881328826081e+01 -2.851493704946417651e+01
-2.836382697490935456e+01 -2.897458086515727871e+01
-2.761344717918558445e+01 -2.571397138896741197e+01
-2.725144988932508028e+01 -2.744331585733513990e+01
-2.776039617619615996e+01 -2.844405304758172193e+01
-2.825031682278247658e+01 -2.896767731716758476e+01
-2.725330561272641461e+01 -2.852332240656802398e+01
-2.868263255788924937e+01 -2.840430846967195322e+01
-2.774092897455743056e+01 -2.576908061378880532e+01
-2.710815095901489258e+01 -2.840005899730481431e+01
-2.821983667130166040e+01 -2.903548115178158540e+01
-2.889644770926617667e+01 -2.765083067040694331e+01
-2.840607073966492990e+01 -2.826103893079255869e+01
-2.814101975014869339e+01 -2.539211614508377934e+01
-2.807495261253194485e+01 -2.822165489196777344e+01
-2.877127847265689908e+01 -2.755517578125000000e+01
-2.798859076804303214e+01 -2.841472946970086255e+01
-2.930591579193764673e+01 -2.825301863017834947e+01
-2.903546502742361568e+01 -2.769729353252209947e+01
-2.827405999569182526e+01 -2.906189777976588218e+01
-2.901082251934294831e+01 -2.697753740611829087e+01
-2.884121922229198631e+01 -2.863832388426128261e+01
-2.907361317695455227e+01 -1.871698816199051763e+01
-2.859077695075501779e+01 -2.809269373040450191e+01
-2.868789624153299656e+01 -2.938585396816856132e+01
-2.827352679029424110e+01 -2.817342728062680024e+01
-2.853492837256573722e+01 -2.606862529955412100e+01
-2.812057124807479624e+01 -2.960892330972771802e+01
-2.929515988776024216e+01 -2.818708741037469068e+01
-2.915540411117229169e+01 -2.886162888376336255e+01
-2.867573093860707445e+01 -2.936288577631900054e+01
-2.862206761380459241e+01 -2.447354417098195967e+01
-2.925001137307349808e+01 -2.911873295432642905e+01
-2.939776995841492990e+01 -2.863887500762939453e+01
-2.914883034280006058e+01 -2.750248196250513999e+01
-2.958276744599038111e+01 -2.949700551283986982e+01
-2.887163232235198151e+01 -2.771214018369975918e+01
-2.933183981509919036e+01 -2.125876918591951181e+01
-2.833522743874407723e+01 -2.902407038839239917e+01
-2.922861414767326238e+01 -2.735903443788227207e+01
-2.941233093180554903e+01 -2.820384778474506504e+01
-2.901783162989514864e+01 -2.708322610353168614e+01
-2.956098889290018406e+01 -2.674152414422286128e+01
-2.856345440479035247e+01 -2.752661634746350572e+01
-2.983048717011796569e+01 -2.941645973607113618e+01
-2.986694623054341946e+01 -2.788809545416581059e+01
-2.940211419856294839e+01 -2.352926334581876944e+01
-2.925215501988187583e+01 -2.708362905602706050e+01
-2.954844875538602622e+01 -2.518575236671849282e+01
-2.949976180462126862e+01 -2.839440059661865234e+01
-2.935224433655434595e+01 -2.879960642362895840e+01
-2.952329551412704234e+01 -2.582496005610415679e+01
-2.990779855403494381e+01 -2.907501567037482104e+01
-2.991125324939159569e+01 -2.950316203267950854e+01
-2.978585439032696769e+01 -2.904181967283550136e+01
-2.940615070627090688e+01 -2.908837714948152353e+01
-2.964592905247464927e+01 -2.891010881725110337e+01
-2.889345705762822547e+01 -2.864255443372224619e+01
-2.903388322160598989e+01 -2.668437656603361319e+01
-2.903283892286584589e+01 -2.888460912202533848e+01
-2.905256453980790710e+01 -2.239309516705964853e+01
-2.867607937467859003e+01 -2.932864816565262700e+01
-3.005509227387448590e+01 -2.875582529369153306e+01
-3.018413133824125083e+01 -2.757599634873239580e+01
-2.938351442458781904e+01 -2.936095990632709629e+01
-2.913844638175152824e+01 -2.833493739680239898e+01
-2.968763525942538806e+01 -2.844026701073897456e+01
-3.007885632616408245e+01 -2.826371499111778007e+01
-2.955555102165709158e+01 -2.662022163993433921e+01
-3.019001077083830964e+01 -2.927833496896844068e+01
-2.956260553319403428e+01 -2.864175214265522129e+01
-2.987619472057261305e+01 -2.945400544216758476e+01
-2.953763374369195205e+01 -2.709134920019852544e+01
-3.022316441637404338e+01 -2.921232243588096367e+01
-3.068375713267224825e+01 -2.867624092102050781e+01
-3.012226749988312591e+01 -2.909835705004240225e+01
-3.023989982807889731e+01 -2.946790599822998047e+01
-2.983741583722703083e+01 -2.736354521701210274e+01
-2.974519996440157144e+01 -2.842154121398925781e+01
-3.006228063461628253e+01 -2.942607814387271148e+01
-3.046493140687333678e+01 -2.919501103852924473e+01
