# Train Val
4.963305791219075336e-01 -1.945624208450317472e+00
-5.810590227444966338e+00 -1.129340858459472585e+01
-1.792989683151245117e+01 -1.980043716430663991e+01
-2.286656045913696289e+01 -2.373419990539550639e+01
-2.518051004409790039e+01 -2.497759208679199361e+01
-2.623308706283569336e+01 -2.472207679748535014e+01
-2.701411271095275879e+01 -2.594113502502441548e+01
-2.749075428644816199e+01 -2.387584686279296875e+01
-2.718616580963134766e+01 -2.689270439147949077e+01
-2.822333463033040246e+01 -2.614067077636718750e+01
-2.804535055160522461e+01 -2.644669799804687571e+01
-2.816228437423706055e+01 -2.731410751342773580e+01
-2.842723202705383301e+01 -2.758857803344726634e+01
-2.857409143447875977e+01 -2.756639137268066264e+01
-2.864790193239847937e+01 -2.698895492553710795e+01
-2.855617698033650598e+01 -2.709435157775878977e+01
-2.894560805956522742e+01 -2.778450431823730327e+01
-2.915913899739583215e+01 -2.779002685546874929e+01
-2.880171259244282922e+01 -2.768105773925781321e+01
-2.868418828646342078e+01 -2.781493911743164205e+01
-2.902876003583272180e+01 -2.788569412231445455e+01
-2.916634996732075891e+01 -2.697620620727538920e+01
-2.863590065638224402e+01 -2.727792091369628835e+01
-2.905328504244486609e+01 -2.784547386169433736e+01
-2.876601433753967285e+01 -2.756294975280761861e+01
-2.917971833546956262e+01 -2.793936882019043111e+01
-2.925950026512145996e+01 -2.801105766296386790e+01
-2.938137920697529992e+01 -2.739164276123046804e+01
-2.926383590698242188e+01 -2.795964393615722798e+01
-2.925841752688090125e+01 -2.666976432800293040e+01
-2.936245838801066199e+01 -2.809664230346679759e+01
-2.937460168202717981e+01 -2.822957916259765554e+01
-2.948410860697428504e+01 -2.759236030578613352e+01
-2.944276054700215539e+01 -2.835498275756835795e+01
-2.962870081265767297e+01 -2.792969093322754048e+01
-2.964810625712076941e+01 -2.785347366333007812e+01
-2.957233603795369348e+01 -2.809264373779296875e+01
-2.940763131777445594e+01 -2.795477943420410227e+01
-2.964526232083638391e+01 -2.807308387756347656e+01
-2.957553497950236121e+01 -2.799151535034179616e+01
-2.939407046635945520e+01 -2.802174491882324148e+01
-2.924399630228678504e+01 -2.770522308349609375e+01
-2.917975362141926965e+01 -2.810141601562499858e+01
-2.930595175425211707e+01 -2.794610748291015767e+01
-2.980142863591511926e+01 -2.762503662109374858e+01
-2.976541558901469031e+01 -2.800100326538085938e+01
-2.948923373222351074e+01 -2.764538955688476562e+01
-2.981389609972636023e+01 -2.783348464965820312e+01
-2.974594155947367469e+01 -2.794943237304687500e+01
-2.982199311256408691e+01 -2.775176277160644389e+01
-2.949788459142049035e+01 -2.846948013305664205e+01
-2.975412869453430176e+01 -2.793269424438476634e+01
-2.994071857134501258e+01 -2.803568840026855469e+01
-2.939809600512186805e+01 -2.654956169128417898e+01
-2.965834943453470984e+01 -2.799427299499511790e+01
-3.002512613932291785e+01 -2.802458915710449361e+01
-3.002412517865498742e+01 -2.730481758117675639e+01
-2.982797900835673133e+01 -2.736562614440918040e+01
-2.985847163200378418e+01 -2.766458511352539062e+01
-2.966442879041035852e+01 -2.684033317565917898e+01
-2.955334560076395789e+01 -2.812167358398437500e+01
-2.980237015088399133e+01 -2.783918457031250071e+01
-2.976611407597859582e+01 -2.843131790161132955e+01
-3.016696000099182129e+01 -2.837594337463378835e+01
-3.003799390792846680e+01 -2.759128646850586009e+01
-3.010677059491475305e+01 -2.749798011779785156e+01
-2.985375475883483887e+01 -2.787927513122558665e+01
