# Train Val
-1.371797290444374084e+01 -2.043879865345202163e+01
-2.433335897770333744e+01 -2.601904633170680015e+01
-2.721754305413428909e+01 -2.912357455805728179e+01
-2.738621732021900002e+01 -2.875323400999370449e+01
-2.888418975789496201e+01 -2.871020467657791997e+01
-2.902675328356154338e+01 -2.230089242834793950e+01
-2.883734810605962195e+01 -2.829546436510587881e+01
-2.966657085621610435e+01 -2.724550929822419931e+01
-2.811915425036815819e+01 -2.900381198682283213e+01
-2.870841118629942557e+01 -3.000360649510433930e+01
-2.961495568904470943e+01 -2.669060034500925127e+01
-2.853970827954880818e+01 -2.971375385083650400e+01
-2.842808170521512778e+01 -2.810414946706671557e+01
-2.958957192238340994e+01 -3.019805642178184257e+01
-2.975049860933993884e+01 -3.028465356324848301e+01
-2.992427451559837692e+01 -2.989311388919227852e+01
-3.068212530460763432e+01 -3.102772291083084966e+01
-3.043503275323421420e+01 -3.004388021167956069e+01
-3.021583191891933851e+01 -3.013865626485724292e+01
-2.920066580873854534e+01 -2.398258540504857095e+01
-2.968966413051524000e+01 -2.651455603147807949e+01
-2.981764790352354666e+01 -3.029861470272666679e+01
-3.060368377604383028e+01 -2.993587759921425118e+01
-3.052078065466373502e+01 -2.951467273109837564e+01
-3.081623954975858481e+01 -2.612884185188694985e+01
-3.061649509186440454e+01 -2.921163679424084947e+01
-3.027594883898471423e+01 -3.067064330452366860e+01
-3.056309612761152650e+01 -3.013544700020237954e+01
-2.998739798525546618e+01 -2.720432808524683921e+01
-2.962137748840007490e+01 -2.150974248584948256e+01
-3.081990779714381290e+01 -2.878419936330694995e+01
-3.150303289738107182e+01 -3.004783128437243178e+01
-3.064781613045550301e+01 -3.036078468121980478e+01
-3.126029533020993512e+01 -2.921075615129972647e+01
-3.071503384569858142e+01 -2.947673802626760420e+01
-3.068377606412197522e+01 -2.676218700408935547e+01
-3.108731620869738066e+01 -2.838689116427772774e+01
-3.132483751215833223e+01 -2.901252254686857412e+01
-3.106576002405044790e+01 -3.038813355094508140e+01
-3.135938879784117361e+01 -3.035044032648989898e+01
-3.101965398991361411e+01 -3.058610825789602217e+01
-3.085818082728284395e+01 -2.957640361785888672e+01
-3.149659905535109417e+01 -2.991078853607177734e+01
-3.045590262717389152e+01 -2.885525050916169931e+01
-3.046131407960932336e+01 -3.035923154730545903e+01
-3.078310906633417687e+01 -3.001963931635806304e+01
-3.055014655945148760e+01 -3.058427740398206041e+01
-3.142614341289439039e+01 -2.622614609567742505e+01
-3.098854039577727448e+01 -3.038577541552091787e+01
-3.154721929671916669e+01 -2.903328800201416016e+01
-3.125328160346822415e+01 -3.032910015708521811e+01
-3.154060409424152667e+01 -3.048912821317973965e+01
-3.140725727284208091e+01 -2.265687997717606450e+01
-3.094620419563131009e+01 -2.836331307260613599e+01
-3.154917694659943450e+01 -2.815373621488872402e+01
-3.068648434699849759e+01 -2.261103148209421221e+01
-2.929340765831318194e+01 -3.011635805431165025e+01
-3.140013992025497203e+01 -2.972724221882067397e+01
-3.130174001734307510e+01 -2.877803069666812164e+01
-3.067229529644580666e+01 -2.922499305323550445e+01
-3.136391686378641452e+01 -2.906950594249524400e+01
-3.126427996412236610e+01 -2.901515764939157549e+01
-3.134457144838698284e+01 -3.059575547670063145e+01
-3.121488164333586823e+01 -3.039939007006193350e+01
-3.103709608443239887e+01 -3.064471485740260093e+01
-3.197979698789880487e+01 -2.810726060365375645e+01
-3.165294413870953605e+01 -3.030939523797286128e+01
-3.183408557607772593e+01 -2.948434297662032222e+01
-3.123859453201293945e+01 -2.955871848056190743e+01
-3.159713634531548720e+01 -2.984504589281583975e+01
-3.110942114160415883e+01 -2.321723350725675772e+01
-3.053006616551825303e+01 -3.036319667414614898e+01
-3.190682140309759873e+01 -2.731037626768413418e+01
-3.158276533573231859e+01 -2.661485762345163408e+01
-3.187468673827800458e+01 -2.922027537697239907e+01
-3.140463717440341540e+01 -2.996335390994423165e+01
-3.202706546986356528e+01 -2.900694390347129570e+01
-3.214557497552100784e+01 -3.024323870006360337e+01
-3.177584028244018555e+01 -3.023689882378829097e+01
-3.236931863744208471e+01 -2.997653479325143877e+01
-3.171435147143424871e+01 -3.008356259998522475e+01
-3.180322777971308312e+01 -3.004147745433606431e+01
-3.243544903207332197e+01 -3.001247416044536465e+01
-3.223407587091973170e+01 -2.781882777966951181e+01
-3.223308653527117684e+01 -3.048490243209035810e+01
-3.197291633930612065e+01 -2.833193573198820303e+01
-3.203892090980043150e+01 -2.942612211327803706e+01
-3.166619076627366169e+01 -2.919961437426115225e+01
-3.070605790361445031e+01 -2.958141567832545249e+01
-3.217965499390947315e+01 -3.051985570004111992e+01
-3.194852609837308677e+01 -2.999765968322753906e+01
-3.204663950331667621e+01 -2.871339958592465180e+01
-3.227035910017946918e+01 -2.854328456677888681e+01
-3.191787893214124239e+01 -2.824794121792442070e+01
-3.225772863753298481e+01 -3.026375213422273447e+01
-3.197241629945471075e+01 -3.056158321782162446e+01
-3.195221094374960913e+01 -2.617638452429520513e+01
-3.198078316830574153e+01 -2.973799474615799809e+01
-3.221548364517536811e+01 -2.905370877918444350e+01
-3.181427766921672529e+01 -2.993142820659436509e+01
-3.225384046676310845e+01 -3.033096147838391587e+01
-3.245476012534283683e+01 -2.905857588115491197e+01
-3.258364654094614821e+01 -3.010603287345484702e+01
-3.227987944826166711e+01 -3.011893347689979805e+01
